sc_r,sc_eps,oc_r,oc_eps,sos_ktheta,so_kr,D_11,D_11H,D_14,BM_T11H,BM_T14
4.35,0.13,3.15,0.015075,100,350,2.840794981,2.937279263,2.66902412,47.19255328,40.01295008
4.35,0.13,3.25,0.03005,100,350,2.720705518,2.849847665,2.547968502,56.10236644,53.21542548
4.35,0.13,3.35,0.045025,100,350,2.621349613,2.724294819,2.510687041,52.77070251,36.40675922
4.35,0.13,3.45,0.06,100,350,2.537846729,2.628463658,2.468527228,47.9694549,41.61100095
4.425,0.175,3.15,0.015075,100,350,2.790108727,2.94373829,2.618300599,48.02840343,36.78626655
4.425,0.175,3.25,0.03005,100,350,2.700696504,2.822796429,2.532895655,55.11734743,54.14741341
4.425,0.175,3.35,0.045025,100,350,2.606575331,2.690526117,2.442373233,56.39454544,34.08533308
4.425,0.175,3.45,0.06,100,350,2.526557715,2.605005069,2.451963021,53.64429294,43.56572396
4.5,0.22,3.15,0.015075,100,350,2.759386866,2.825017853,2.607493446,32.40290452,50.56798609
4.5,0.22,3.25,0.03005,100,350,2.678627591,2.79045236,2.507523233,58.90846011,49.89935721
4.5,0.22,3.35,0.045025,100,350,2.58987633,2.594811136,2.417539114,31.07128118,39.76739582
4.5,0.22,3.45,0.06,100,350,2.513631248,2.590168302,2.437929426,49.47470068,41.68964057
4.2,0.04,3.583333333,0.093333333,100,350,2.426745556,2.514601111,2.340525393,45.55540404,35.54909042
4.2,0.04,3.716666667,0.126666667,100,350,2.319027853,2.384249413,2.20077417,45.09632412,32.98810845
4.2,0.04,3.85,0.16,100,350,2.221732135,2.271763858,2.109396092,40.82498293,31.98801188
4.3,0.1,3.583333333,0.093333333,100,350,2.420743159,2.501806005,2.332076667,45.32845478,36.09341522
4.3,0.1,3.716666667,0.126666667,100,350,2.315809713,2.381302447,2.203539476,43.64972857,33.88952464
4.3,0.1,3.85,0.16,100,350,2.220571598,2.276017903,2.108497665,46.36426008,32.20651246
4.4,0.16,3.583333333,0.093333333,100,350,2.412055156,2.482585019,2.32170764,48.45634081,33.11782393
4.4,0.16,3.716666667,0.126666667,100,350,2.310020674,2.371597591,2.196157703,47.27687235,34.45477495
4.4,0.16,3.85,0.16,100,350,2.217115131,2.270191548,2.096043558,41.74227622,30.92910949
4.6,0.28,3.183333333,0.020066667,100,350,2.68467181,2.770613034,2.532146692,52.87298381,53.25191873
4.6,0.28,3.316666667,0.040033333,100,350,2.590736442,2.590566604,2.429483371,53.62888955,42.38738149
4.7,0.34,3.183333333,0.020066667,100,350,2.644965406,2.727072484,2.498200799,38.57308788,51.67289014
4.7,0.34,3.316666667,0.040033333,100,350,2.559426529,2.633091935,2.383083034,49.35280573,45.86414752
4.8,0.4,3.183333333,0.020066667,100,350,2.604219438,2.571354919,2.461838414,40.77313947,41.6139986
4.8,0.4,3.316666667,0.040033333,100,350,2.521283396,2.560905506,2.352747104,46.93615079,46.48013559
4.544017104,0.183734657,3.658130606,0.152256239,100,350,2.301252335,2.358315069,2.190142347,49.40921317,34.90832682
4.553424271,0.325612265,3.780589492,0.140535679,100,350,2.253306979,2.302626654,2.133178864,52.49996253,34.58149401
4.488699498,0.301521563,3.751599288,0.021561935,100,350,2.52133769,2.533855131,2.433894844,51.0863473,29.6763773
4.77259229,0.294096718,3.569694063,0.112071613,100,350,2.342913633,2.37021985,2.234175131,45.254123,32.04936631
