sc_r,sc_eps,oc_r,oc_eps,D_11,D_11H,D_14,SE_T11,SE_T11H,SE_T14,BM_T11,BM_T11H,BM_T14
4.425798071011929,0.2021346116287726,3.608223021664517,0.1498978853202367,2.33455847690387,2.3995520349563044,2.2266042696629214,700.1622673457425,309.2631963538521,632.4023672412081,63.75009897985707,49.157348075868086,35.6252651439108
4.737000447259475,0.048330588087218,3.630276913339176,0.0979044031407518,2.3710946441947565,2.3513040324594257,2.2680649438202245,624.5148698334768,237.46659048876384,578.3658955767927,63.51315235157996,29.699659256474625,33.485159607852296
4.590617871607094,0.1595026027978685,3.69170886348718,0.0127066392013582,2.617298177278402,2.707636754057428,2.4402618851435705,471.20625409563087,296.299433535584,480.5324115487332,65.59563407562752,53.15883325250699,40.36283386011546
4.617613454097934,0.3400638142736948,3.66113046722053,0.1104956807871078,2.327322734082397,2.3771798626716607,2.209164918851436,707.2112188590761,326.0593124140078,648.7106354346647,66.45270781804172,54.89081942481509,35.37400568259432
4.333767809110523,0.3113137177728378,3.457076515332244,0.0982644557628625,2.461855642946317,2.526832759051186,2.3823061672908867,630.5586480407959,308.6516319819213,450.72625544234575,65.73091333590497,47.85620891232987,37.886363775120245
4.477951386872567,0.3099886995835542,3.3901186259871814,0.0602087929118023,2.533305118601748,2.561614406991261,2.4089845443196007,570.7797871783283,303.2789776428004,412.2033132855114,68.1703727183495,54.1586078437864,41.754885449820165
4.601441631369828,0.170634831167257,3.306936941366365,0.0682050865103127,2.54509684144819,2.6109782771535586,2.4305028714107366,548.2247635828843,252.5506767741948,488.78387233962354,69.06981302192816,55.17409784696824,39.71000999906611
4.45735218454061,0.3027663002196751,3.607803609110443,0.1212371823893359,2.3575393508114857,2.420990262172285,2.2566951685393257,697.9909540407606,312.3140088797552,589.1121447642441,67.90758324479606,54.98351780622633,34.92586780404923
4.743100340834249,0.2433104453328845,3.145988842420479,0.1020078102560593,2.519461872659176,2.50899049937578,2.398973832709114,586.6297952878884,286.53893625285,467.3835175804898,68.62328216710574,34.67048206383652,41.159218977777776
4.79941,0.3966994,3.6514697,0.114572905,2.296969937578027,2.330991248439451,2.175740162297129,710.8312324011614,365.4833102357708,686.4837589182953,67.51263348501585,48.751906956912215,32.44341453383107
4.279137,0.34988853,3.2422378,0.093613744,2.561727827715356,2.642590349563046,2.500279013732834,560.8264869882164,300.21940344967817,439.1046419052185,70.35383649589934,60.27563715585296,42.86257180603158
4.646228,0.2899699,3.2230704,0.12624323,2.4812297877652933,2.4613641448189765,2.367603870162297,631.1295586857897,318.79939495576457,555.233240841453,70.78343089805423,50.8807851222194,38.029907782951625
4.7710786,0.047386765,3.2359207,0.057025366,2.610166479400749,2.707095418227216,2.4370162297128592,474.68382948492,226.7572046461096,481.1002465808448,68.21323393736469,45.53412572543292,37.23585195589891
4.468645,0.06618245,3.3669822,0.12240486,2.472353920099875,2.5553360674157304,2.398761910112359,589.1450446204011,281.1583964132212,520.1322822147245,65.30494944887874,41.9364241519644,40.8795082893647
4.4962425,0.3881491,3.5503647,0.0055966103,2.714763283395755,2.819168726591761,2.556920349563046,530.7569823068872,161.53623002941669,498.3403170886375,69.23396679227176,44.922491769388586,51.82317398322181
4.522021,0.3766643,3.5520666,0.058506228,2.4627887265917603,2.4534923220973783,2.377106766541823,623.5826526545236,309.63031021035897,666.0612782813723,67.168405900715,43.97378669838437,35.43408196242647
4.4617496,0.16623498,3.6302967,0.11823335,2.3540964918851435,2.418280811485643,2.251750911360799,670.6868339846385,304.73516673470255,581.5206626211942,64.61076094502607,49.61762538900646,32.480507153381424
4.4902377,0.09897135,3.7203133,0.01828806,2.581241997503121,2.5848867290886397,2.413150174781523,480.4554697580211,255.35002945089252,528.8536754459428,65.75521913993497,38.88628025038954,36.44201730282202
4.247417,0.12826791,3.7235994,0.060805257,2.4199814232209738,2.458128377028714,2.324813820224719,595.2779914274616,271.3094062915542,473.9856076493402,63.081172583233055,42.48432400128933,35.07469235995172
4.64216,0.31082588,3.7492075,0.08394386,2.322837215980025,2.369128252184769,2.1902135955056177,683.547956952794,284.6218834651644,633.0531315274859,64.92999704754274,49.366998571087706,34.94647892720307
4.371107,0.17731376,3.1529343,0.03278648,2.7352629213483146,2.8708066541822723,2.550540049937578,565.8627758220446,314.8308694749805,451.56708332169006,65.33396968575407,60.48049523569793,36.81270838997415
4.3408537,0.083347365,3.4755263,0.15790755,2.3953878027465665,2.4753554931335837,2.306308813982522,647.4914177184861,307.0046571152387,507.1708729325978,65.60484812632244,48.38905069827338,39.029662694479526
4.5563364,0.14074485,3.4328985,0.05430054,2.535436828963795,2.493833957553059,2.461613133583021,540.9777882961424,285.0471419076163,538.6922510680507,66.3101669354052,29.770212167895263,40.41123014636137
4.7427735,0.29065716,3.3944278,0.13475668,2.3937626716604243,2.437733383270912,2.304594981273408,688.2171490838599,336.43122614442984,576.7119176739815,67.61477947262416,46.36028723837144,42.614893754113695
4.640996,0.09017995,3.5014682,0.013015271,2.7019349313358307,2.816201223470662,2.509308501872659,580.2386069517528,223.9283460485331,503.0250102719658,66.01862365612482,50.05141131914672,47.40393731189906
4.23118,0.2649674,3.58252,0.10225291,2.411111011235955,2.4840246441947564,2.320870936329588,650.761705064258,324.91697053493687,537.2149576938759,66.44797576857468,44.53377089188727,38.3789881235883
4.5120244,0.37555507,3.549809,0.12229385,2.373339850187266,2.427349475655431,2.2772253558052435,708.1364878354376,338.16536482027755,585.0255754054862,68.4087521131143,48.27232409198437,37.1117711058381
4.4847355,0.1385264,3.7340438,0.08531594,2.351251672908864,2.411686054931336,2.2372670037453184,642.7909586758284,312.3141761669469,555.3121777829572,64.68120243289863,48.76216516354852,32.85831612694964
4.734532,0.18863147,3.746143,0.0029481885,2.70116,2.734242309612984,2.513772808988764,330.8282433516957,247.11755589640745,662.4641307160838,68.45950976364507,42.39773713856066,22.073298156005347
4.6434746,0.1833109,3.794249,0.08496124,2.308693495630462,2.356291847690387,2.1747072534332084,658.4441010457488,306.94290500193193,624.7026163496694,64.10466424597692,47.59129721817221,33.197822021416115
