optimizers,sc_r,sc_eps,oc_r,oc_eps,ocx_r,ocx_eps,sos_ktheta,oso_ktheta,so_kr,D_11,D_11H,D_14,SE_T11,SE_T11H,SE_T14,BM_T11,BM_T11H,BM_T14,D_11_std,D_11H_std,D_14_std,SE_T11_std,SE_T11H_std,SE_T14_std,BM_T11_std,BM_T11H_std,BM_T14_std,error_D_11,error_D_11_std,error_D_11H,error_D_11H_std,error_D_14,error_D_14_std,error_SE_T11,error_SE_T11_std,error_SE_T11H,error_SE_T11H_std,error_SE_T14,error_SE_T14_std,error_BM_T11,error_BM_T11_std,error_BM_T11H,error_BM_T11H_std,error_BM_T14,error_BM_T14_std
,4.5,0.22,3.45,0.06,3.45,0.06,100.0,100.0,350.0,2.5137647690387017,2.58420479400749,2.4370994506866417,569.725976454273,276.528731454333,532.9091463343632,65.90461087495572,52.887027583621645,41.529276605840394,0.001528476194724734,0.0037170310718050263,0.005025267599628661,17.190018693208174,28.885343729093567,18.533327400566616,,,,2.1855597170203964,0.0621331786473469,8.12572359863975,0.15552431262782537,9.286970882809044,0.2253483228533032,16.216768168489264,2.5279439254717904,14.914236475589844,8.887798070490328,16.077299789864067,2.9186342363097033,7.176604401470814,,4.449814663736868,,11.639837008850227,
,4.5,0.22,3.5500000000000003,0.08499999999999999,3.5500000000000003,0.08499999999999999,100.0,100.0,350.0,2.4266431710362046,2.474423458177278,2.337677652933833,632.7867050001588,322.39781168290045,476.1072144020937,66.80657060467243,47.01063630526347,30.287951522483013,0.0013773089457198944,0.010787096534798462,0.005870580506593402,17.25258899605935,20.92332827725,22.679784890238412,,,,1.3559686570648506,0.055988168525198966,3.5323622668317167,0.4513429512467975,4.828594301965606,0.2632547312373723,6.943131617623706,2.5371454405969636,0.800673328338322,6.43794716223077,25.022485920930126,3.5716196677540806,5.906238584968408,,15.066601074501415,,35.557549952163804,
,4.5,0.22,3.6500000000000004,0.11,3.6500000000000004,0.11,100.0,100.0,350.0,2.349953245942572,2.4104981647940074,2.230710299625468,680.0414307194504,309.42003019708494,626.5823461110817,65.76740819039921,51.103723012865835,34.50643078443201,0.0013249210167729395,0.002500949670187109,0.006430107437680372,16.597571173506623,18.391549984435184,20.707103222571355,,,,4.473445286887323,0.05385857791759917,0.8576637989124365,0.1046422456145234,0.031852001142071866,0.28834562500808847,0.0060927528603576106,2.440819290221562,4.793836862435403,5.658938456749287,1.32561478565642,3.260961137412812,7.369847619156044,,7.671683806927129,,26.58206216078295,
,4.5,0.22,3.75,0.135,3.75,0.135,100.0,100.0,350.0,2.2783208489388262,2.332799887640449,2.1590263545568043,691.6866182368088,278.6849777570989,637.9286805961247,65.03935506255819,50.306078525074234,31.629645637863547,0.001239109066386817,0.0022611971082503097,0.005570899047203454,17.08223360464757,15.317675913020235,31.334217868148357,,,,7.38533134395015,0.05037028725149663,2.393310140566984,0.09461075766737696,3.182674683551378,0.24981610077145533,1.7186203289424764,2.5120931771540542,14.250776074738793,4.713131050160072,0.46120954269679526,4.934522498921001,8.395274559777203,,9.11277592579181,,32.702881621566924,
,4.5,0.22,3.85,0.16,3.85,0.16,100.0,100.0,350.0,2.2107437453183523,2.2607251810237203,2.093800461922597,642.2640533138109,103.9195063926766,631.058222246367,65.63233398622022,48.60420198195399,34.06395248817515,0.0011306647182326808,0.002369084580262903,0.006710865008429301,17.042193820061637,19.431375316674195,24.052433398405576,,,,10.132368076489744,0.04596198041596263,5.408988241685346,0.0991248778352679,6.107602604367849,0.3009356506022108,5.549403924439573,2.506204973538476,68.02476726379182,5.978884712822829,0.62075240214693,3.787784787150484,7.560092977154624,,12.187530294572737,,27.5235053443082,
,4.575,0.265,3.45,0.06,3.45,0.06,100.0,100.0,350.0,2.4986391885143573,2.5609381523096126,2.4175805992509365,585.1139290925671,221.1996791286608,630.7449339528083,70.82586210725772,49.4223579284485,40.86295455676242,0.001485582954825451,0.0037423622328380773,0.005171790564248465,17.175309677636612,19.28846245531957,23.812634870961766,,,,1.5706987200958262,0.060389551009164676,7.152223946008891,0.15658419384259736,8.411686065064417,0.23191885938333925,13.953833956975426,2.5257808349465605,31.93856026810437,5.934911524713714,0.6700891412900299,3.750021239521538,0.24526463766518322,,10.709380436407413,,13.057543496250174,
,4.575,0.265,3.5500000000000003,0.08499999999999999,3.5500000000000003,0.08499999999999999,100.0,100.0,350.0,2.415214669163545,2.471036217228465,2.3233464294631707,649.7600058595496,310.2506362495088,523.5911231911219,66.73574061199808,48.56106822768902,36.465209458161866,0.0014214378008412538,0.009084688329698101,0.005418677304963899,17.33695707745812,14.691104108415042,20.43239391600685,,,,1.820541903920925,0.057782024424441206,3.39063670411986,0.38011248241414647,4.18593854094936,0.24299001367551118,4.447057961830948,2.5495525113908997,4.538265769381916,4.520339725666166,17.544705009272135,3.217699829292417,6.00599913803087,,12.265459389902404,,22.41444796135773,
,4.575,0.265,3.6500000000000004,0.11,3.6500000000000004,0.11,100.0,100.0,350.0,2.3404353807740326,2.395252446941323,2.2248799375780273,691.8962223478431,293.2013080066947,643.3663057208807,66.8670172580514,52.16528570618301,33.93142196711017,0.001229613307540181,0.0028698797021815695,0.005608447300376344,17.34086254933131,17.52593949132215,27.002529935871866,,,,4.860350375039325,0.049984280794316306,0.2197676544486651,0.12007864862684392,0.2295992117476554,0.25149987894064324,1.7494444629181103,2.550126845489898,9.78421292101701,5.392596766560661,1.3175284599812198,4.25236691903494,5.8211024534487255,,5.753774695242978,,27.805485176361344,
,4.575,0.265,3.75,0.135,3.75,0.135,100.0,100.0,350.0,2.2708705617977527,2.320722833957553,2.1554439950062423,699.1895189850886,237.56209266146288,620.9535229836304,66.25911997900738,48.32478282970207,36.35104948380646,0.001224932267102458,0.0024713982041843145,0.005432991857160751,16.765198326331692,18.299974756392473,24.062725023883118,,,,7.688188544806799,0.049793994597660894,2.8986261942446414,0.10340578260185415,3.343318609585547,0.24363192184577362,2.821988086042445,2.4654703421076016,26.903971488780652,5.630761463505377,2.2120436246251396,3.7894055155721444,6.677295804214958,,12.692352611197702,,22.657341523816033,
,4.575,0.265,3.85,0.16,3.85,0.16,100.0,100.0,350.0,2.204712684144819,2.2511891760299627,2.0916150436953806,645.4891773428378,77.8693174150576,617.8379169759062,63.789685763433326,46.46057927523971,34.765645598393434,0.0011188259075302096,0.002293716377459238,0.0065496603941989475,16.7504116923046,49.990193315558166,22.540642940227514,,,,10.377533164844763,0.0454807279483825,5.807984266528762,0.09597139654641162,6.205603421731809,0.29370674413448195,5.0751209789944385,2.4632958371036175,76.04021002613612,15.381597943248666,2.7026902400147743,3.549707549642128,10.155372164178413,,16.060380713207394,,26.030541280013967,
,4.65,0.31,3.45,0.06,3.45,0.06,100.0,100.0,350.0,2.4817418476903867,2.4658736079900128,2.3610825093632957,605.538170564669,359.42636968678664,674.6502150649615,68.69664919996318,28.069712514400898,35.86910537726074,0.001453201493865458,0.0030681425310985885,0.011107273239649088,17.594029590951124,14.970816519633846,36.42230280643159,,,,0.8838149467636904,0.05907323145794545,3.1746279493729137,0.1283741644811125,5.878139433331645,0.49808400177798595,10.950269034607494,2.5873572927869297,10.59272913439589,4.606405082964261,6.2441283566868435,5.735795717548282,3.2441560563898935,,49.28687892610497,,23.682754516466517,
