optimizers,sc_r,sc_eps,oc_r,oc_eps,ocx_r,ocx_eps,sos_ktheta,oso_ktheta,so_kr,D_11,D_11H,D_14,SE_T11,SE_T11H,SE_T14,BM_T11,BM_T11H,BM_T14,D_11_std,D_11H_std,D_14_std,SE_T11_std,SE_T11H_std,SE_T14_std,BM_T11_std,BM_T11H_std,BM_T14_std,error_D_11,error_D_11_std,error_D_11H,error_D_11H_std,error_D_14,error_D_14_std,error_SE_T11,error_SE_T11_std,error_SE_T11H,error_SE_T11H_std,error_SE_T14,error_SE_T14_std,error_BM_T11,error_BM_T11_std,error_BM_T11H,error_BM_T11H_std,error_BM_T14,error_BM_T14_std
None,4.3,0.3,3.3,0.08,3.3,0.08,100.0,100.0,350.0,2.440483732833958,2.525116317103621,2.3983630836454433,648.5709993382578,304.31361960961357,432.710239458627,72.69029764696512,54.537440074508226,49.39156715871481,0.0015743696908709485,0.0030005291690499564,0.002289417907295364,18.318722642899576,17.119651349826,25.20985030995461,,,,0.7933441937415465,0.06399876792158327,5.6534023892728325,0.12554515351673456,7.549914064818085,0.10266448014777417,4.621911862020909,2.6939298004264085,6.365040120118902,5.267585030715692,31.856655203365833,3.9700551669219855,2.38070091121848,,1.4680396124512662,,5.0884407632229935,
None,4.3,0.3,3.425,0.1075,3.425,0.1075,100.0,100.0,350.0,2.3463269288389514,2.403467702871411,2.2927487640449438,713.5426240988187,317.18962825663243,564.7983657145362,69.22217988840666,60.90282555021082,46.57730452773653,0.00145970641095385,0.001957593667389702,0.0041123380023419245,16.278644147799785,16.449477552364105,23.627099562997024,,,,4.620856551262135,0.05933765898186382,0.5635022121929183,0.08190768482802101,2.8138459212979274,0.1844097758897724,4.932738838061573,2.39391825702938,2.4031913056515597,5.061377708419725,11.055375478025795,3.720803080786933,2.5039719881596376,,10.032205149432375,,0.8993520686456812,
None,4.3,0.3,3.55,0.135,3.55,0.135,100.0,100.0,350.0,2.2591854057428216,2.313158888888889,2.1846308364544322,688.3650349381851,341.95604388500885,621.7193107692161,70.32171276619059,56.426426669343726,40.14275413627044,0.0012430066839792073,0.0021141759361247214,0.005560572737989256,16.27271428489685,19.837995020134066,22.023899567189016,,,,8.163194888503186,0.05052872699102469,3.215109251510917,0.08845924418931889,2.034491638814697,0.24935303757799357,1.2301521967919251,2.393046218367184,5.217244272310416,6.103998467733559,2.091447122958091,3.468330640502207,0.9553341321259348,,1.9447636302506324,,14.589884816445872,
None,4.3,0.3,3.675,0.1625,3.675,0.1625,100.0,100.0,350.0,2.1782613607990013,2.2305839325842696,2.082764456928839,546.0415882001943,234.1099798448019,647.5994251614146,69.88768743104086,50.946840430466466,34.26315288934906,0.001092300334574408,0.002165449927947876,0.00829946669888824,16.767046777899882,32.68872970136026,25.776485013154147,,,,11.452790211422709,0.044402452624975934,6.670128343754416,0.09060459949572702,6.602490720679873,0.3721733945689794,19.6997664411479,2.465742173220571,27.966160047753263,10.058070677341618,1.984161442742459,4.059288978449472,1.5666374210692118,,7.955121173502322,,27.099674703512644,
None,4.3,0.3,3.8,0.19,3.8,0.19,100.0,100.0,350.0,2.1029824843945066,2.122955418227216,2.036493570536829,321.81622449716383,233.44216492840062,485.75672809645755,67.86400553420424,36.59977262440713,32.118019176011884,0.001030672084160935,0.0028070895258465343,0.006157573526587473,97.60783254772409,19.68295811312411,25.065976257898345,,,,14.512907138434688,0.04189723919353394,11.173413463296402,0.1174514445960893,8.677418361577175,0.2761243733895728,52.67408463277002,14.35409302172413,28.17164156049212,6.056294804038187,23.502877465124794,3.9473978358895034,4.416893613796847,,33.87574954939995,,31.663788987208754,
None,4.3625,0.3525,3.3,0.08,3.3,0.08,100.0,100.0,350.0,2.435785118601748,2.5155116604244694,2.3918624968789013,664.3040853692494,289.55408878792986,436.69407899784636,72.24353293476918,53.11588199951555,51.03469327033784,0.0015918532492557398,0.002854652231804127,0.002176195420407534,16.848768009222777,25.833221175339343,36.57920071752071,,,,0.9843447722866625,0.06470948167706259,5.251533908973609,0.11944151597506808,7.258407931789297,0.09758723858329749,2.308222739816268,2.4777600013562906,10.906434219098506,7.948683438565952,31.22927889797695,5.760504050003262,1.7514548377030672,,4.036346884344083,,8.584453766676255,
None,4.3625,0.3525,3.425,0.1075,3.425,0.1075,100.0,100.0,350.0,2.3434391635455682,2.3977934581772784,2.2899969662921347,730.4813823445088,367.4935338181542,586.046561419179,72.86784363354481,59.31103904866657,49.90430831057018,0.0013280422336919139,0.0018943560650155453,0.0033197285521729633,17.409644924346313,15.562824902338289,25.397941527754657,,,,4.7382453843264924,0.053985456654142845,0.32608611620411204,0.07926176004249143,2.6904469189298066,0.14886675121851853,7.423732697721882,2.5602419006391637,13.07493348250899,4.788561508411781,7.7092029261135355,3.9996758311424654,2.630765681049026,,7.156348778078719,,6.179379384191871,
None,4.3625,0.3525,3.55,0.135,3.55,0.135,100.0,100.0,350.0,2.257535742821473,2.3097251935081147,2.173218851435706,706.0887462365394,362.2178285419824,646.4443368793122,72.6748004095347,58.33788383118315,35.34678069638185,0.0011737333507984371,0.0020537672686450673,0.009270587652848706,15.871037280811748,19.225631004767955,21.43703812079519,,,,8.230254356850686,0.047712737837334845,3.3587785143048303,0.08593168488054674,2.546239845932474,0.41572141941025587,3.8365803289028455,2.33397607070761,11.451639551379195,5.915578770697832,1.8022577762696428,3.375911515085857,2.358873816246052,,5.398164103311919,,24.79408362471947,
None,4.3625,0.3525,3.675,0.1625,3.675,0.1625,100.0,100.0,350.0,2.177164606741573,2.2283322222222224,2.0838055805243445,547.8569966355074,355.1005770576116,589.7032670220783,68.26708081620225,50.93627888163698,38.035623959575595,0.0010699346365103336,0.0021263976122907,0.0061878730549212255,17.074624526165188,15.745362714469445,22.322180443800615,,,,11.497373709692159,0.04349327790692413,6.764342166434215,0.08897061139291632,6.555803563930739,0.27748309663323883,19.43279461242539,2.5109741950242923,9.261716017726643,4.844726989067522,7.13334377605066,3.515304006897735,3.8491819490109123,,7.974202562534817,,19.073140511541286,
None,4.3625,0.3525,3.8,0.19,3.8,0.19,100.0,100.0,350.0,2.102017952559301,2.0869309238451934,2.0139880149812734,216.06170424926952,70.1031329712114,633.6495371747521,69.4982589092301,35.81512634806065,30.495365970751386,0.0010156916622413358,0.0033265328640257183,0.008843868422798662,28.05439578098102,12.713570122424477,30.91873878685186,,,,14.552115749621919,0.041288278952899826,12.680714483464715,0.1391854754822476,9.686636099494462,0.39658602792819114,68.22621996334271,4.125646438379562,78.42980523962727,3.9118677299767617,0.21267131106265508,4.869092722338876,2.11512829685901,,35.293357998083735,,35.116242615422586,
