sc_r,sc_eps,oc_r,oc_eps,ocx_r,ocx_eps,sos_ktheta,oso_ktheta,D_11,D_11H,D_14,SE_T11,SE_T11H,SE_T14,BM_T11,BM_T11H,BM_T14,error_D_11,error_D_11H,error_D_14,error_SE_T11,error_SE_T11H,error_SE_T14,error_BM_T11,error_BM_T11H,error_BM_T14
4.5,0.22,3.45,0.06,3.45,0.06,100.0,100.0,2.5137647690387017,2.58420479400749,2.4370994506866417,569.725976454273,276.528731454333,532.9091463343632,65.90461087495572,52.887027583621645,41.5292766058404,2.1855597170203964,8.12572359863975,9.286970882809044,16.216768168489264,14.914236475589844,16.077299789864067,7.176604401470814,4.449814663736868,11.63983700885021
4.5,0.22,3.5500000000000003,0.0849999999999999,3.5500000000000003,0.0849999999999999,100.0,100.0,2.4266431710362046,2.474423458177278,2.337677652933833,632.7867050001588,322.39781168290045,476.1072144020937,66.80657060467243,47.01063630526347,30.287951522483013,1.3559686570648506,3.5323622668317167,4.828594301965606,6.943131617623706,0.800673328338322,25.022485920930126,5.906238584968408,15.066601074501415,35.557549952163804
4.5,0.22,3.65,0.11,3.65,0.11,100.0,100.0,2.349953245942572,2.410498164794008,2.230710299625468,680.0414307194504,309.42003019708494,626.5823461110817,65.76740819039921,51.10372301286584,34.50643078443201,4.473445286887323,0.8576637989124551,0.031852001142071866,0.0060927528603576106,4.793836862435403,1.32561478565642,7.369847619156044,7.671683806927117,26.58206216078295
4.5,0.22,3.75,0.135,3.75,0.135,100.0,100.0,2.2783208489388262,2.332799887640449,2.1590263545568043,691.6866182368088,278.6849777570989,637.9286805961247,65.03935506255819,50.30607852507424,31.629645637863547,7.38533134395015,2.393310140566984,3.182674683551378,1.7186203289424764,14.250776074738793,0.46120954269679526,8.395274559777203,9.112775925791798,32.702881621566924
4.5,0.22,3.85,0.16,3.85,0.16,100.0,100.0,2.2107437453183523,2.2607251810237203,2.093800461922597,642.2640533138109,103.9195063926766,631.058222246367,65.63233398622022,48.60420198195399,34.06395248817515,10.132368076489744,5.408988241685346,6.107602604367849,5.549403924439573,68.02476726379182,0.62075240214693,7.560092977154624,12.187530294572737,27.5235053443082
4.575,0.265,3.45,0.06,3.45,0.06,100.0,100.0,2.4986391885143573,2.5609381523096126,2.4175805992509365,585.1139290925671,221.1996791286608,630.7449339528083,70.82586210725772,49.4223579284485,40.86295455676242,1.5706987200958262,7.152223946008891,8.411686065064417,13.953833956975426,31.93856026810437,0.6700891412900299,0.24526463766518322,10.709380436407413,13.057543496250174
4.575,0.265,3.5500000000000003,0.0849999999999999,3.5500000000000003,0.0849999999999999,100.0,100.0,2.415214669163545,2.471036217228465,2.3233464294631707,649.7600058595496,310.2506362495088,523.5911231911219,66.73574061199808,48.56106822768902,36.465209458161866,1.820541903920925,3.39063670411986,4.18593854094936,4.447057961830948,4.538265769381916,17.544705009272135,6.00599913803087,12.265459389902404,22.41444796135773
4.575,0.265,3.65,0.11,3.65,0.11,100.0,100.0,2.340435380774033,2.395252446941323,2.224879937578028,691.8962223478431,293.2013080066947,643.3663057208807,66.8670172580514,52.16528570618301,33.93142196711017,4.860350375039307,0.2197676544486651,0.22959921174761558,1.7494444629181103,9.78421292101701,1.3175284599812198,5.8211024534487255,5.753774695242978,27.805485176361344
4.575,0.265,3.75,0.135,3.75,0.135,100.0,100.0,2.2708705617977527,2.320722833957553,2.1554439950062423,699.1895189850886,237.56209266146288,620.9535229836304,66.25911997900738,48.32478282970207,36.35104948380646,7.688188544806799,2.8986261942446414,3.343318609585547,2.821988086042445,26.903971488780652,2.2120436246251396,6.677295804214958,12.692352611197702,22.657341523816033
4.575,0.265,3.85,0.16,3.85,0.16,100.0,100.0,2.204712684144819,2.2511891760299627,2.0916150436953806,645.4891773428378,77.8693174150576,617.8379169759062,63.789685763433326,46.46057927523971,34.765645598393434,10.377533164844763,5.807984266528762,6.205603421731809,5.0751209789944385,76.04021002613612,2.7026902400147743,10.155372164178413,16.060380713207394,26.030541280013967
