sc_r,sc_eps,oc_r,oc_eps,ocx_r,ocx_eps,sos_ktheta,oso_ktheta,D_11,D_11H,D_14,SE_T11,SE_T11H,SE_T14,BM_T11,BM_T11H,BM_T14
4.5,0.22,3.65,0.11,3.7,0.12,170.0,170.0,2.341941360799001,2.4051830711610487,2.2151852059925092,651.6683650327885,363.11495487123466,611.822755959159,69.30737472561533,42.8152402441754,36.38719837865678
4.5,0.22,3.65,0.11,3.7,0.12,150.0,150.0,2.3433605742821477,2.410742247191011,2.213090424469413,658.324672388881,352.25540219793237,620.3029485990888,69.45095188153411,42.353169567538245,34.6374184451686
4.5,0.22,3.65,0.11,3.7,0.12,100.0,100.0,2.3498714232209736,2.4103911485642944,2.245267802746567,679.8915259772134,357.1848711043258,623.2862151225854,64.576172384426,52.70024894985899,30.374008343960398
4.5,0.22,3.65,0.11,3.7,0.12,80.0,80.0,2.3549559925093635,2.4161070411985017,2.2513876529338326,695.6769678463526,384.2590999708793,604.448158071624,66.3714225833024,49.59861338061587,33.028368046899516
4.575,0.265,3.65,0.11,3.7,0.12,170.0,170.0,2.33280506866417,2.3904551186017478,2.2117906367041202,663.3013590984162,391.502929396369,630.4791233833095,70.39285258754475,48.15889820936469,37.17648155754118
4.575,0.265,3.65,0.11,3.7,0.12,150.0,150.0,2.3343146816479403,2.3882813982521847,2.200163021223471,666.5349895353179,374.1424659489996,639.2931550131617,67.77494755417226,44.868018580287455,36.61040407767108
4.575,0.265,3.65,0.11,3.7,0.12,100.0,100.0,2.3404315605493133,2.395185480649188,2.226694981273408,690.8737094163095,389.1962974916055,634.7125271336097,67.90442531218989,46.9132397898052,35.95648724056578
4.575,0.265,3.65,0.11,3.7,0.12,80.0,80.0,2.3455164419475656,2.4012466791510607,2.2331386766541823,709.0587204659214,338.05909807048005,622.0065770433757,64.47213652821942,53.42905718784115,32.18912785927969
4.65,0.31,3.65,0.11,3.7,0.12,170.0,170.0,2.3219347565543074,2.3734869912609238,2.204180936329588,671.7109563073922,394.6082727906877,663.2988079798249,70.49604933899465,48.01335744211671,37.66681337078064
4.65,0.31,3.65,0.11,3.7,0.12,150.0,150.0,2.323317328339576,2.3763860299625468,2.1852091011235957,678.3571705610002,370.85278964816047,649.2902122887709,67.04747416857734,46.902223516026154,36.48687794818823
4.65,0.31,3.65,0.11,3.7,0.12,100.0,100.0,2.3293933583021222,2.378165892634207,2.1957439825218477,701.1285212639793,344.161718665114,666.7976538591888,68.1646554167801,53.16535522405809,33.80379357496714
4.65,0.31,3.65,0.11,3.7,0.12,80.0,80.0,2.334207815230961,2.3835872284644197,2.218602833957553,717.1967618705306,313.00312532238763,676.5675344853281,63.39270004929001,49.897905307924546,32.799977387207264
4.617613454097934,0.3400638142736948,3.66113046722053,0.1104956807871078,3.7,0.12,170.0,170.0,2.3197534082397,2.372371373283396,2.196339238451935,675.4875883019388,408.93892732558555,668.0467471077548,68.19089443401236,47.21209699988907,37.071867170263786
4.617613454097934,0.3400638142736948,3.66113046722053,0.1104956807871078,3.7,0.12,150.0,150.0,2.3210209488139824,2.3763153932584267,2.1936647191011236,685.9355075622202,374.9441254366942,666.1431049273416,69.0762616412425,49.71767160549474,37.63121130323751
4.617613454097934,0.3400638142736948,3.66113046722053,0.1104956807871078,3.7,0.12,100.0,100.0,2.3271903495630464,2.377025018726592,2.2071157053682895,706.7016840034973,377.3775024345985,697.3638824673333,66.2715060280134,49.367524738513524,31.989802983678764
4.617613454097934,0.3400638142736948,3.66113046722053,0.1104956807871078,3.7,0.12,80.0,80.0,2.332044219725343,2.382605493133583,2.209479675405743,725.9979217896533,385.2830654278237,689.4180164312274,65.19830548059346,52.314354630177775,32.462199786823476
4.542466170004921,0.3539888257800138,3.5859911439005705,0.1314530890111229,3.7,0.12,170.0,170.0,2.338057540574282,2.3990321598002495,2.223987865168539,689.9979969808059,363.2004876143384,651.728662495592,68.69399879601093,46.43245556913932,35.42715638752141
4.542466170004921,0.3539888257800138,3.5859911439005705,0.1314530890111229,3.7,0.12,150.0,150.0,2.3393271036204744,2.4038094132334584,2.204740024968789,697.1344373702173,353.01876988490824,670.1347971341994,69.89173891817504,49.914908082127084,36.60862675085901
4.542466170004921,0.3539888257800138,3.5859911439005705,0.1314530890111229,3.7,0.12,100.0,100.0,2.345999238451935,2.403895031210986,2.244329662921348,721.0936929342155,379.84809268667095,671.7423766613539,70.60661444433097,56.361123466953124,32.696631589322266
4.542466170004921,0.3539888257800138,3.5859911439005705,0.1314530890111229,3.7,0.12,80.0,80.0,2.3512385143570538,2.4095558926342076,2.241978189762796,735.700456840617,384.67439265723056,647.9002256082898,66.28593714664453,54.25783720935311,33.38532463916436
