optimizers,sc_r,sc_eps,oc_r,oc_eps,ocx_r,ocx_eps,sos_ktheta,oso_ktheta,D_11,D_11H,D_14,SE_T11,SE_T11H,SE_T14,BM_T11,BM_T11H,BM_T14,D_11_std,D_11H_std,D_14_std,SE_T11_std,SE_T11H_std,SE_T14_std,BM_T11_std,BM_T11H_std,BM_T14_std,error_D_11,error_D_11_std,error_D_11H,error_D_11H_std,error_D_14,error_D_14_std,error_SE_T11,error_SE_T11_std,error_SE_T11H,error_SE_T11H_std,error_SE_T14,error_SE_T14_std,error_BM_T11,error_BM_T11_std,error_BM_T11H,error_BM_T11H_std,error_BM_T14,error_BM_T14_std
ocxktheta,4.575,0.265,3.65,0.11,3.4,0.085,170.0,170.0,2.3377940449438204,2.412738464419476,2.2129232459425716,646.9160321649595,386.1476267044694,615.041176592604,69.74622309499526,45.56092949094632,37.54846104049735,0.0014823050859986712,0.003197017362174458,0.00549344424752692,18.228450428149706,16.20146322315716,19.69885634511934,,,,4.967721750251203,0.06025630430888907,0.9514001849153008,0.13376641682738316,0.7657737245483572,0.24634279136892018,4.865289387505961,2.680654474727898,18.814654370605975,4.9850656071252795,3.143121796440321,3.1021821015935966,1.7658829647954106,,17.685764243999422,,20.109657360643933,
ocxktheta,4.575,0.265,3.65,0.11,3.4,0.098264456,170.0,170.0,2.338175942571785,2.4046664918851435,2.2104255056179776,646.3557300561492,366.8680372754216,607.1409753950807,67.56495197386198,46.245666803575446,38.79572965416107,0.0013449097150730503,0.003022200366082061,0.004035114220846905,18.43578092537098,14.180505160265716,21.33260380891167,,,,4.952197456431495,0.05467112662898578,0.6136607483323577,0.12645189816242933,0.8777800171310498,0.18094682604694642,4.947686756448641,2.711144253731027,12.882473007822034,4.3632323570048355,4.387247969278636,3.3594651667577438,4.838095811462,,16.44865979480498,,17.455894352848784,
ocxktheta,4.575,0.265,3.65,0.11,3.4,0.13,170.0,170.0,2.3388828464419475,2.4071919101123593,2.214263583021223,651.3775129503255,366.54658676300664,615.1377744879501,69.26953517842193,46.71181553799941,37.85205629421299,0.0012887137531820058,0.003992105737816838,0.004802662440866668,18.567499902868416,24.355622634317776,27.22303015010046,,,,4.923461526750098,0.05238673793422788,0.7193267829439,0.16703371287936558,0.7056689228151037,0.2153660287384156,4.209189272010961,2.7305146915982967,12.783565157848198,7.4940377336362385,3.12790952945668,4.287091362220544,2.437274396588827,,15.606475992774323,,19.46371001231278,
ocxktheta,4.575,0.265,3.65,0.11,3.45,0.085,170.0,170.0,2.337256891385768,2.4071489513108615,2.219644269662921,650.7634756369121,390.24364806792084,605.076440508636,67.76630731506,46.79776209294083,37.58068149348144,0.001312792995653993,0.0043146380090195715,0.004372143181231722,17.945341274081205,18.47150788116273,21.124875615379686,,,,4.989557260741142,0.0533655689290241,0.7175293435506844,0.18052878698826658,0.4643825263264093,0.1960602323422297,4.299488876924697,2.639020775600177,20.074968636283334,5.683540886511609,4.712371573443153,3.326752065414124,4.554496739352107,,15.451197664063546,,20.04110320535863,
ocxktheta,4.575,0.265,3.65,0.11,3.45,0.098264456,170.0,170.0,2.3374270287141075,2.405675905118602,2.220221260923845,649.7906589830101,366.8406854055398,604.083373872899,70.05154843660743,44.379025129444955,36.21697483872635,0.001298390603949552,0.00419210728166471,0.0050040394465954915,18.652449449510023,21.548956210288388,20.85465236070752,,,,4.982641109182622,0.05278010585160781,0.6558956116569761,0.17540197831233098,0.4385084787513357,0.22439638773970816,4.442550149557341,2.743007271986768,12.874057047858392,6.63044806470412,4.868760020015912,3.284197222158664,1.3358472723838968,,19.821092810397555,,22.942606726114146,
ocxktheta,4.575,0.265,3.65,0.11,3.45,0.13,170.0,170.0,2.3379037827715354,2.399309850187266,2.2075382397003747,656.4420251039008,423.13799345169116,612.8724040329483,68.85826758092037,48.81762875950978,37.342162031152725,0.0014224447433038732,0.0029059965549752638,0.004656495492585801,17.34238790650053,14.918638984092553,20.03897789838813,,,,4.963260862945713,0.05782295704487289,0.38953348063874194,0.1215898140157014,1.0072538250953058,0.20881145706662785,3.464408072955758,2.5503511627206663,30.196305677443434,4.590350456643863,3.48466078221286,3.1557445509272646,3.0165245339149727,,11.801935393839605,,20.54859142307931,
ocxktheta,4.575,0.265,3.65,0.11,3.457076515,0.085,170.0,170.0,2.337141797752809,2.4084174157303373,2.2117242571785267,649.0132037824135,368.0671054276773,609.7922996419792,67.23895940270287,45.76123432742291,37.73076217753339,0.0013842647918822927,0.0029543249970513195,0.007645055606650385,18.374707368667824,42.804966861760626,25.90258187557514,,,,4.9942358637069475,0.056270926499280186,0.7706031686333544,0.12361192456281672,0.819540036837366,0.34282760567938947,4.556881796703899,2.7021628483335034,13.251417054669934,13.170759034387883,3.9697165918143016,4.079146752059078,5.297240277883275,,17.323876553888148,,19.721782600992782,
ocxktheta,4.575,0.265,3.65,0.11,3.457076515,0.098264456,170.0,170.0,2.3370693133583025,2.4048004619225964,2.2141931335830214,651.104876294056,357.82404850232126,609.2211372092532,67.63154989215658,45.50054643485926,38.9563009234452,0.0013228563425156286,0.004188820587153479,0.005167448770271777,18.599926893447748,20.19942389671867,23.29916724317923,,,,4.997182383808841,0.053774648069741006,0.6192661892299715,0.1752644597135347,0.7088280904474705,0.23172416010187338,4.249282897932941,2.7352833666834924,10.099707231483466,6.215207352836514,4.059663431613663,3.6691601957762567,4.744295926540022,,17.794857389594835,,17.114253354371918,
ocxktheta,4.575,0.265,3.65,0.11,3.457076515,0.13,170.0,170.0,2.337980936329588,2.402436129837703,2.202927540574282,655.916074973275,382.13730350566243,620.4913748669983,68.63450727623785,46.980711489153634,39.43044073561805,0.001290106486764173,0.004039813764658107,0.007297892337426215,17.481488545703318,13.834529168898971,23.67341360211182,,,,4.96012453944764,0.05244335312049485,0.5203401605733441,0.16902986463004632,1.2140116334402644,0.32725974607292446,3.5417536804007286,2.5708071390740175,17.580708770973054,4.256778205815068,2.2848228555908214,3.7280966302538303,3.3316798926227396,,15.120665782920264,,16.105445243365853,
ocxktheta,4.575,0.265,3.65,0.11,3.4,0.085,160.0,160.0,2.3385886641697877,2.414436716604245,2.2218060923845195,650.1001043602795,416.1211492973826,616.4921807973454,69.34946560606565,48.57615646946299,37.60231369657926,0.001351852188046865,0.0031674308723058887,0.0049296571215911664,18.22554456317404,15.586102335987034,23.015169366400823,,,,4.935420155699685,0.05495334097751483,1.0224567616838893,0.1325284883809995,0.36743980338477333,0.2210608574704559,4.397043476429487,2.680227141643241,28.037276706886953,4.7957237956883185,2.9146171972684347,3.624436120693043,2.3246963294850005,,12.238199693833812,,19.995077241320725,
