sc_r,sc_eps,oc_r,oc_eps,D_9,D_11,D_11H,D_14,SE_T9,SE_T11,SE_T11H,SE_T14,BM_T9,BM_T11,BM_T11H,BM_T14
4.5,0.22,3.45,0.06,2.9118703370786516,2.5137647690387017,2.58420479400749,2.4370994506866417,623.9577902319435,569.725976454273,276.528731454333,532.9091463343632,55.77592785905986,65.90461087495572,52.887027583621645,41.529276605840394
4.5,0.22,3.5500000000000003,0.08499999999999999,2.7872375156054927,2.4266431710362046,2.474423458177278,2.337677652933833,505.51815533877453,632.7867050001588,322.39781168290045,476.1072144020937,59.52662137773993,66.80657060467243,47.01063630526347,30.287951522483013
4.5,0.22,3.6500000000000004,0.11,2.6742764044943823,2.349953245942572,2.4104981647940074,2.230710299625468,323.6385135404158,680.0414307194504,309.42003019708494,626.5823461110817,58.40074730813288,65.76740819039921,51.103723012865835,34.50643078443201
4.5,0.22,3.75,0.135,2.6040046441947564,2.2783208489388262,2.332799887640449,2.1590263545568043,-19.44787224040892,691.6866182368088,278.6849777570989,637.9286805961247,66.8007223164374,65.03935506255819,50.306078525074234,31.629645637863547
4.5,0.22,3.85,0.16,2.4993997128589265,2.2107437453183523,2.2607251810237203,2.093800461922597,-763.005287799523,642.2640533138109,103.9195063926766,631.058222246367,38.774673128122295,65.63233398622022,48.60420198195399,34.06395248817515
4.575,0.265,3.45,0.06,2.8792870287141072,2.4986391885143573,2.5609381523096126,2.4175805992509365,554.8656382967154,585.1139290925671,221.1996791286608,630.7449339528083,57.08907897377096,70.82586210725772,49.4223579284485,40.86295455676242
4.575,0.265,3.5500000000000003,0.08499999999999999,2.7616035580524345,2.415214669163545,2.471036217228465,2.3233464294631707,535.3208045725215,649.7600058595496,310.2506362495088,523.5911231911219,58.31499480025248,66.73574061199808,48.56106822768902,36.465209458161866
4.575,0.265,3.6500000000000004,0.11,2.6532008863920105,2.3404353807740326,2.395252446941323,2.2248799375780273,286.5755775944464,691.8962223478431,293.2013080066947,643.3663057208807,58.234750949681114,66.8670172580514,52.16528570618301,33.93142196711017
4.575,0.265,3.75,0.135,2.590412983770287,2.2708705617977527,2.320722833957553,2.1554439950062423,-149.4365658173468,699.1895189850886,237.56209266146288,620.9535229836304,68.36463025034145,66.25911997900738,48.32478282970207,36.35104948380646
4.575,0.265,3.85,0.16,2.4885062172284647,2.204712684144819,2.2511891760299627,2.0916150436953806,-871.4626196919256,645.4891773428378,77.8693174150576,617.8379169759062,44.018384129331494,63.789685763433326,46.46057927523971,34.765645598393434
4.65,0.31,3.45,0.06,2.843584756554307,2.4817418476903867,2.4658736079900128,2.3610825093632957,500.61923549369544,605.538170564669,359.42636968678664,674.6502150649615,54.55339425433261,68.69664919996318,28.069712514400898,35.86910537726074
4.65,0.31,3.5500000000000003,0.08499999999999999,2.7340407990012485,2.40175177278402,2.4157737453183525,2.306991061173533,450.70772048990506,662.278350833943,312.28860004482436,548.7866431241891,58.86941647441204,69.10672220377506,50.188962297474916,39.961940048109035
4.65,0.31,3.6500000000000004,0.11,2.6311547066167287,2.3292530212234706,2.378196154806492,2.210808177278402,189.82811855403727,701.0574274442808,373.2216147242051,668.199010166886,60.621534505656115,65.50608144554752,51.11414228356663,34.13061051307223
4.65,0.31,3.75,0.135,2.574210649188514,2.261760424469413,2.3066441573033702,2.142280449438202,-211.99564216871872,702.6265631926973,240.99491387813148,652.1176456272134,66.22598918092312,66.33501153716219,49.05786480297921,33.54672561466283
4.65,0.31,3.85,0.16,2.470337940074906,2.1970159675405743,2.238993782771536,2.08343252184769,-1066.7903463076127,643.6976991119926,106.20016836996308,613.5889444944048,55.399849074736565,67.39635024431524,49.08482376778018,31.31331250102897
4.725,0.355,3.45,0.06,2.804033345817728,2.4631122471910114,2.4965466916354555,2.3756841198501872,545.673216651609,620.6563013362622,358.0376454324732,548.8499918600065,56.37035348830322,68.15844053312792,50.12081121632653,30.382164378403175
4.725,0.355,3.5500000000000003,0.08499999999999999,2.70124684144819,2.3862651935081147,2.4277581897627964,2.290640836454432,433.6365870592074,675.5876328682419,309.6714900462903,651.3770413155925,54.90554539613815,66.95839348055561,48.7912673386232,35.223614538286164
