sc_r,sc_eps,oc_r,oc_eps,D_9,D_11,D_11H,D_14,SE_T9,SE_T11,SE_T11H,SE_T14,BM_T9,BM_T11,BM_T11H,BM_T14
4.725,0.355,3.6500000000000004,0.11,2.6532978277153556,2.3165209488139826,2.3560648689138577,2.1859339200998753,122.85729469072027,707.9454122646007,353.73216216070745,699.5359020900183,72.54402534799829,68.2202655202014,46.90256446084673,34.896182312253686
4.725,0.355,3.75,0.135,2.5549428838951314,2.250853108614232,2.2899426217228465,2.133034656679151,-377.9452216564787,702.202722835554,333.1939380310193,674.8955474418912,67.32731474405963,66.67892179036437,50.79327896949869,37.69977962761634
4.725,0.355,3.85,0.16,2.4547960674157303,2.1877247066167294,2.225199413233458,2.07819354556804,-1283.6151433513853,632.9557779295126,92.88331036275103,617.4797086696557,53.49955806502575,64.24881764084911,48.253704349599715,35.6931652597424
4.8,0.4,3.45,0.06,2.759812359550562,2.442170399500624,2.408901198501873,2.3499362546816482,458.1169967991603,633.9343164589693,316.27691096321837,597.3325070847768,55.00521725910926,66.83219364460781,43.329583746665605,27.698688861632156
4.8,0.4,3.5500000000000003,0.08499999999999999,2.6666363171036203,2.3688820474406995,2.375421697877653,2.232792297128589,355.809624384017,684.9040144888702,333.42261754544273,663.6194724638628,56.627633522158106,70.11627593559466,42.56818997247748,33.75101230515749
4.8,0.4,3.6500000000000004,0.11,2.5911649063670414,2.3019891136079895,2.289086129837703,2.159895093632959,44.15767866150702,709.0374381027989,336.0476130444694,695.5737266125498,60.234801891216115,67.57960979896171,28.230722617876342,31.14353697292838
4.8,0.4,3.75,0.135,2.531033420724095,2.238298352059925,2.270954019975031,2.11310936329588,-513.3271021543405,696.9649361270318,260.1409090866154,672.9697458726245,59.465485936723994,67.55952691522457,50.615543255129424,37.986653988578766
4.8,0.4,3.85,0.16,2.440380736579276,2.17676961298377,2.2086921972534337,2.064736579275905,-1476.2858888200938,619.3176143066248,25.890726634206644,624.6208388906862,57.14357040757082,66.49896999622402,48.372572004461304,32.89170226160946
4.2,0.04,3.05,0.0001,4.159000661672908,2.9997368414481898,2.954413857677902,3.026911248439451,,-753.116835244863,,-651.5578731615221,99.64733707274205,52.919588902927465,25.668508904918355,46.72369021575849
4.2,0.04,3.15,0.015074999999999998,3.4765055680399497,2.913244556803995,3.0837834082396998,2.7257080149812736,361.4901483849197,242.26182118314512,37.16261151235237,341.651250292184,64.57778210836693,69.06583442783003,46.19450701422738,32.623910750415945
4.2,0.04,3.25,0.030049999999999997,3.2883280524344576,2.757471835205992,2.9011209113607994,2.5469193133583024,445.06858248818395,346.7106764066366,198.67343270682292,358.5907022535694,55.03088169950297,68.08993005888351,52.902920525764216,33.26102579505718
4.2,0.04,3.35,0.045024999999999996,3.1526770287141073,2.646642983770287,2.762351672908864,2.499312459425718,392.9612446139144,427.21718358705664,290.0970493107657,404.3146679816629,50.97505216741092,65.26306153721514,50.49120024550979,29.88764352446361
4.2,0.04,3.45,0.06,3.0182839575530584,2.555606941323346,2.5609181273408237,2.491979825218477,569.6700014297834,499.13223828228433,251.00424250990667,422.777944988596,53.272800002048726,66.25609412871984,35.278596180721564,44.64160918324164
4.275,0.08499999999999999,3.05,0.0001,3.986587802746567,2.9294159550561796,2.9354015730337077,2.8080075530586766,185.987497830694,-235.01716196389995,,-404.8594671098171,62.14582463864402,40.33033247644909,32.23095668267806,39.526833205709686
4.275,0.08499999999999999,3.15,0.015074999999999998,3.414592559300874,2.8828579900124844,2.9570495255930087,2.7118740574282145,270.7554837959082,418.0988257398367,284.7436706395207,425.69659401765085,64.41737519186131,66.7195542860407,45.695719997519326,34.452007596160485
4.275,0.08499999999999999,3.25,0.030049999999999997,3.24627581772784,2.7392846816479404,2.874746479400749,2.553920699126092,373.47435128857467,375.777323849509,263.335412954915,367.7117684181412,57.624570429679096,69.02571998038087,57.932052478111835,37.85190744924519
4.275,0.08499999999999999,3.35,0.045024999999999996,3.1175511610486892,2.634371697877653,2.743739825218477,2.5362363920099873,372.4881820511149,450.29679647695036,342.06424992423337,375.5266988293663,56.48549792969976,65.74303175487465,51.01217956455842,37.75027845366642
4.275,0.08499999999999999,3.45,0.06,2.9941230087390758,2.5471285892634206,2.5675233208489385,2.4405605493133584,522.6720607678353,517.804374671473,353.0102007818036,385.8225960948183,57.184426914355484,68.25897839739687,44.367635647344244,38.11455206023922
4.35,0.13,3.05,0.0001,3.54888013732834,2.769061585518102,3.2804399750312108,2.7449957553058675,774.5519815690618,-428.77821309911275,,,26.72914214915465,40.88059818083891,49.51882771689497,32.4106725822992
4.35,0.13,3.15,0.015074999999999998,3.3622004868913855,2.840794981273408,2.937279263420724,2.6690241198501874,387.41906809595747,546.5618270997124,219.19492451219725,534.5516062852058,63.18544700241448,61.06813260852539,47.1925532821107,40.01295008047137
4.35,0.13,3.25,0.030049999999999997,3.2059832833957556,2.720705518102372,2.849847665418227,2.5479685018726594,451.09556642502406,404.3425426731428,312.43667222082274,368.99717185791627,59.52589593465142,69.94184185511193,56.102366443869826,53.21542547980852
4.35,0.13,3.35,0.045024999999999996,3.0847037453183526,2.6213496129837703,2.7242948189762797,2.510687041198502,611.6661484772818,472.0713053163257,293.81112004518775,357.02426078573586,53.44048670066754,66.09254026052787,52.770702510015795,36.40675922392693
4.35,0.13,3.45,0.06,2.968939687890137,2.5378467290886393,2.6284636579275906,2.4685272284644197,578.7524545627878,534.4777447863195,269.9355768715147,488.3577081167643,53.9820152417406,68.70905783572637,47.96945490263494,41.61100095068701
4.425,0.17500000000000002,3.05,0.0001,3.4992353558052436,2.7015800249687896,2.7645526966292135,2.6832793008739078,327.56545363345697,19.409803896019238,,-671.7096819271724,56.95030684600182,34.15416525102342,27.20024675723079,31.13184415643686
4.425,0.17500000000000002,3.15,0.015074999999999998,3.310896479400749,2.79010872659176,2.9437382896379525,2.6183005992509365,510.91015980259385,238.01646940922248,132.51758819777265,544.8014317427834,61.94555840329322,66.49002078855042,48.028403429287636,36.786266554356
4.425,0.17500000000000002,3.25,0.030049999999999997,3.163808789013733,2.7006965043695383,2.822796429463171,2.532895655430712,377.90856548577796,438.6678214322924,256.8105993764119,515.1761074822851,57.80714261288654,68.77471659842587,55.11734742596312,54.14741340993325
4.425,0.17500000000000002,3.35,0.045024999999999996,3.0505311985018726,2.606575330836454,2.6905261173533086,2.442373233458177,579.1272934696103,494.24301973630685,269.11723715318533,437.9793379978013,57.95369259820697,68.94632197992894,56.39454544367152,34.08533307839388
4.425,0.17500000000000002,3.45,0.06,2.9421141822721597,2.526557715355805,2.60500506866417,2.4519630212234707,561.7924721012969,553.3305344424879,246.621656566622,508.49223995445146,55.71300486939709,67.06366923179661,53.64429293900724,43.565723958550876
4.5,0.22,3.05,0.0001,3.4104937078651685,2.6658457303370784,2.918882109862671,2.6235885767790266,97.94883547357148,74.54031723517602,,-428.07044391855146,56.464063477586905,31.82405452108206,19.43905296860528,46.6636829220254
4.5,0.22,3.15,0.015074999999999998,3.2432464918851434,2.7593868664169787,2.825017852684145,2.6074934456928838,620.1928467642524,535.1239276258713,315.5742252522058,406.85898357170726,66.42439730825257,67.01072166349061,32.40290452153549,50.56798609492316
4.5,0.22,3.25,0.030049999999999997,3.1201643820224723,2.678627590511861,2.790452359550562,2.507523233458177,599.6062683179953,497.0257748679831,257.01912705623295,542.8341655463933,59.7591322265616,69.14110140118903,58.90846010654871,49.899357209226466
4.5,0.22,3.35,0.045024999999999996,3.013870399500624,2.589876329588015,2.5948111360799,2.4175391136079902,634.0819880870317,514.9451893114499,320.6069269031884,467.8407802736865,58.35940065404722,69.44157536405768,31.071281181138204,39.767395818149616
4.5,0.22,3.45,0.06,2.91176872659176,2.513631248439451,2.5901683021223465,2.437929425717853,519.7017284842642,572.0420439796288,292.84470815085996,492.915361711053,56.511259219282195,68.29791341662249,49.47470067603321,41.68964056647727
4.2,0.04,3.5833333333333335,0.09333333333333332,2.8177553807740323,2.4267455555555557,2.514601111111111,2.340525393258427,555.5254493692452,588.2718871633458,186.95733130065136,475.1685013166005,50.931963472728796,65.3065785822516,45.55540403523359,35.54909041594835
4.2,0.04,3.716666666666667,0.12666666666666665,2.6790830337078657,2.319027852684145,2.3842494132334586,2.2007741697877656,176.9381534970141,637.263663526619,282.99221336230227,535.795545097918,61.58124421576244,61.35625853104909,45.09632412493907,32.988108450686106
4.2,0.04,3.85,0.16,2.484993370786517,2.2217321348314605,2.2717638576779025,2.1093960923845194,-511.4319315615075,593.2074270598268,149.9971143010651,584.0834069344045,51.341225105950244,61.144358628525104,40.82498292828549,31.98801188004082
4.3,0.1,3.5833333333333335,0.09333333333333332,2.798817677902622,2.42074315855181,2.5018060049937576,2.3320766666666666,542.6756878542988,610.6508896268441,275.835683577266,448.1727254907185,54.688401138357406,66.65684985385806,45.32845477928579,
4.3,0.1,3.716666666666667,0.12666666666666665,2.6629379900124843,2.3158097128589263,2.3813024469413233,2.2035394756554307,154.93617387901745,658.22986479966,321.7915043112981,584.6374204241214,65.47723705414397,63.42149753063728,43.64972857227134,33.889524636105605
4.3,0.1,3.85,0.16,2.483092234706617,2.220571598002497,2.2760179026217227,2.1084976654182275,-540.9079144610155,616.4781155205676,92.51444417279117,569.5742428385396,57.502338243655,60.50781322632551,46.364260081118516,32.20651246437488
4.4,0.16,3.5833333333333335,0.09333333333333332,2.7757792259675407,2.4120551560549313,2.4825850187265917,2.3217076404494383,511.4848339625511,629.5801095113393,319.9708298630533,500.5091474444684,54.03984343914167,66.49398193755843,48.45634080735001,33.117823931180745
4.4,0.16,3.716666666666667,0.12666666666666665,2.6560749438202245,2.3100206741573035,2.3715975905118603,2.1961577028714108,165.03199276322064,677.9280191025777,321.1080942681614,592.1609466505222,65.15048172449237,65.08638016182124,47.276872346907325,34.4547749500314
4.4,0.16,3.85,0.16,2.4807424968789014,2.217115131086142,2.270191548064919,2.0960435580524344,-602.0303054124529,634.0165368561292,187.5114771417899,583.4188211057725,58.744504982274094,62.30842665215414,41.742276217824525,30.929109485364673
4.6,0.28,3.05,0.0001,3.0082294756554306,2.4572575280898876,2.650610162297129,2.5566276154806493,508.28392254073015,-18.849315554882683,,-113.35241426092269,39.28185167037972,26.56476339014756,31.36979520416677,37.88458182327288
4.6,0.28,3.183333333333333,0.020066666666666663,3.1357845942571787,2.684671810237204,2.770613033707865,2.532146691635456,570.3711985015152,398.4504668887084,223.71314266344666,539.8095513592352,64.28339206250755,67.08850734893153,52.87298380858353,53.25191872615318
4.6,0.28,3.316666666666667,0.04003333333333333,2.9921150436953807,2.5907364419475654,2.590566604244694,2.429483370786517,622.1356238111821,524.4155894225205,317.19513368784874,446.2734152109977,61.15395219161623,66.60053457418377,53.62888955246419,42.38738149020139
4.7,0.34,3.05,0.0001,2.9628588514357057,2.354192122347066,2.784433782771536,2.5019390012484393,,62.07755788137459,,-261.34924095676166,48.07615885594091,23.62391257762191,29.09961490289009,40.95334547493248
4.7,0.34,3.183333333333333,0.020066666666666663,3.176171186017478,2.6449654057428216,2.727072484394507,2.4982007990012485,794.845310649734,574.8294312463596,242.87824935332324,575.2560485450628,70.32938775145183,70.00211655789305,38.57308787632647,51.6728901435249
4.7,0.34,3.316666666666667,0.04003333333333333,2.929371260923845,2.5594265293383276,2.6330919350811484,2.383083033707865,551.4447898506903,558.2892350142005,292.7809334589988,564.2955654509587,61.34303928160282,69.42817627354121,49.352805730691905,45.86414752102701
4.8,0.4,3.05,0.0001,2.643390074906367,2.3689939450686643,2.5932343071161053,2.4251179151061173,728.8984946516821,36.22677019741023,,-145.57904196337,25.095110947961363,32.636649315172924,19.826709266207438,31.61790915849425
4.8,0.4,3.183333333333333,0.020066666666666663,3.1043001747815233,2.604219438202247,2.5713549188514357,2.4618384144818974,421.0623380530272,592.5983013006697,293.6945371310254,606.040078773661,66.69691393626283,66.38561928070982,40.77313947152094,41.61399859532786
4.8,0.4,3.316666666666667,0.04003333333333333,2.847073995006242,2.5212833957553062,2.5609055056179777,2.3527471036204743,571.7546733310351,599.5337655052617,301.4370839663439,566.5081640242784,50.34189276186737,63.014144942474005,46.936150785344786,46.48013559161119
