r,g_r
0.025,0.0
0.07500000000000001,0.0
0.125,0.0
0.17500000000000002,0.0
0.225,0.0
0.275,0.0
0.32500000000000007,0.0
0.375,0.0
0.42500000000000004,0.0
0.475,0.0
0.525,0.0
0.5750000000000001,0.0
0.625,0.0
0.675,0.0
0.7250000000000001,0.0
0.775,0.0
0.8250000000000001,0.0
0.875,0.0
0.925,0.0
0.9750000000000001,0.0
1.025,0.0
1.0750000000000002,0.0
1.125,0.0
1.1750000000000003,0.0
1.225,0.0
1.275,0.0
1.3250000000000002,0.0
1.375,0.0
1.4250000000000003,0.0
1.475,0.0
1.525,0.0
1.5750000000000002,0.0
1.625,0.0
1.6750000000000003,0.0
1.725,0.0
1.775,0.0
1.8250000000000002,0.0
1.875,0.0
1.9250000000000003,0.0
1.975,0.0
2.0250000000000004,0.0
2.075,0.0
2.125,0.0
2.175,0.0
2.225,0.0017202905751377724
2.2750000000000004,0.008227521824457367
2.325,0.09846818740364706
2.375,0.42879819915448514
2.4250000000000003,1.002177041003409
2.475,1.6975676797631412
2.5250000000000004,2.077157696207341
2.575,2.128927691365056
2.625,1.9373619890777252
2.6750000000000003,1.609724454167496
2.725,1.2730685991658603
2.7750000000000004,1.0163689223575458
2.825,0.7544741251065918
2.875,0.5579362813707599
2.9250000000000003,0.4484405691703313
2.975,0.35507023425258544
3.0250000000000004,0.2689731477083231
3.075,0.24318420545507966
3.125,0.1813949249471097
3.1750000000000003,0.176149104911738
3.225,0.1428886832022576
3.2750000000000004,0.11314987964031507
3.325,0.11554996024930433
3.375,0.1106562635697455
3.4250000000000003,0.09075085010966416
3.475,0.09168442699325181
3.5250000000000004,0.09801208668227353
3.575,0.09528966185780628
3.625,0.10823364636510209
3.6750000000000003,0.11161444913151622
3.725,0.1325754279295491
3.7750000000000004,0.1323736851241211
3.825,0.14436125285681753
3.875,0.17015302783350214
3.9250000000000003,0.18187726566693216
3.975,0.18083400427677077
4.025,0.21921290946502237
4.075,0.20925063161699156
4.125,0.22773266662178748
4.175000000000001,0.2560236990329211
4.225,0.2736162184023536
4.275,0.30266956871722095
4.325,0.31005356479330237
4.375,0.355510559833057
4.425000000000001,0.3740535163992789
4.475,0.3938100072996159
4.525,0.40823945683042234
4.575,0.4469713690395182
4.625,0.44671570741965183
4.675000000000001,0.4590329920385168
4.725,0.4753092402368413
4.775,0.4788539938528052
4.825000000000001,0.5064775099579848
4.875,0.5291101001926704
4.925000000000001,0.5731952211226835
4.975,0.5868503855125848
5.025,0.6293632036537042
5.075000000000001,0.6492629984048573
5.125,0.7005326345142662
5.175000000000001,0.6799059366247644
5.225,0.6922238417557638
5.275,0.7094639692427052
5.325000000000001,0.6741277829288278
5.375,0.6545693729410929
5.425000000000001,0.6335885279616544
5.475,0.6013286089333566
5.525,0.5920285565836874
5.575000000000001,0.5478901663116038
5.625,0.532944491030504
5.675000000000001,0.5034971921315884
5.725,0.4983786868364058
5.775,0.4781670982835805
5.825000000000001,0.4720014349992716
5.875,0.4526513446622874
5.925000000000001,0.4535347837165187
5.975,0.4568301929491948
6.025,0.46464640879533925
6.075000000000001,0.47283676187522616
6.125,0.5127075932817549
6.175000000000001,0.5109154307472937
6.225,0.5180154484417262
6.275,0.5472111040068528
6.325000000000001,0.5566887875676444
6.375,0.5796337142931638
6.425000000000001,0.5800342844977332
6.475,0.5859395840390637
6.525,0.5899961927143279
6.575000000000001,0.6131682888596963
6.625,0.6226726530572182
6.675000000000001,0.6136658768310909
6.725,0.61615582461022
6.775,0.6155370135142214
6.825000000000001,0.6347990172114663
6.875,0.6412751687527449
6.925000000000001,0.662505258105255
6.975,0.6808746931670848
7.025,0.6845913130324867
7.075000000000001,0.7009808735300118
7.125,0.7212063607844801
7.175000000000001,0.7326958135786038
7.225,0.7353154578730859
7.275,0.7401273763800866
7.325000000000001,0.7377559180544553
7.375,0.754796501498815
7.425000000000001,0.7364777425853829
7.475,0.7377085353074897
7.525,0.7434289046978343
7.575000000000001,0.7585076389044384
7.625,0.7618491693535113
7.675000000000001,0.7714732877937734
7.725,0.7610907577040287
7.775,0.7811302076529066
7.825000000000001,0.787731210793527
7.875,0.7822918710459871
7.925000000000001,0.7858085306514759
7.975,0.7908496009208354
8.025,0.8090609333002047
8.075,0.8101091763291627
8.125,0.8315826170694905
8.175,0.8573779314502411
8.225000000000001,0.8547907260102376
8.275,0.8895773205851366
8.325,0.9000597475284545
8.375,0.9055544899387769
8.425,0.8955578649389639
8.475000000000001,0.8978870520775836
8.525,0.8952369532603577
8.575,0.8933981875226054
8.625,0.9029901342591296
8.675,0.8926676074131977
8.725000000000001,0.8980163262186955
8.775,0.8752582178146301
8.825,0.8850519913425209
8.875,0.8786217202355431
8.925,0.8839869607950548
8.975000000000001,0.8797157168455115
9.025,0.8738639122141179
9.075,0.8991107392349158
9.125,0.8807951210482663
9.175,0.9082999616508548
9.225000000000001,0.9193964179077433
9.275,0.9440614120289289
9.325,0.9356295666687044
9.375,0.9535345934519408
9.425,0.9643448003077093
9.475000000000001,1.004804046692082
9.525,1.0148873156159104
9.575000000000001,1.0424947809207916
9.625,1.0673608940260315
9.675,1.0801037902805481
9.725000000000001,1.1058112080199185
9.775,1.1161417380698464
9.825000000000001,1.1365276799427202
9.875,1.1522088176335552
9.925,1.1607734140481551
9.975000000000001,1.1753998734248676
