z,density
-35.362644,7.744891421193541e-05
-35.10798,0.00011012267489509607
-34.853313,7.462525588129189e-05
-34.598644,4.6388672574857174e-05
-34.34398,6.292724279719744e-05
-34.08931,4.8405571382459645e-05
-33.834644,5.88934451819925e-05
-33.579975,0.000102055079664686
-33.32531,0.00022185886883627497
-33.070644,0.000527217348307295
-32.815975,0.0007047044433762936
-32.56131,0.0015280025366395682
-32.30664,0.003077787580401247
-32.051975,0.0030350293256800683
-31.797308,0.0031992048886188827
-31.54264,0.003444863163384844
-31.287975,0.005079761336827534
-31.033306,0.004552947368281693
-30.77864,0.0044028900969960314
-30.523973,0.004331895258968434
-30.269306,0.004642901055100759
-30.014639,0.008474202030022549
-29.759972,0.012624576396307123
-29.505306,0.01711540328131486
-29.250637,0.016561562868747257
-28.995972,0.014843568464431403
-28.741304,0.014603557506326739
-28.486637,0.016115828232267065
-28.23197,0.0142707692030724
-27.977303,0.0074580884107524744
-27.722637,0.005190287391484194
-27.467968,0.003360960172988622
-27.213303,0.00247634835597419
-26.958635,0.002430766442922395
-26.703968,0.005398431348428732
-26.449303,0.011090523163244582
-26.194633,0.016065002382315566
-25.939968,0.024101133991326854
-25.685299,0.037377572082250794
-25.430634,0.034770125303782415
-25.175966,0.02477881199068124
-24.921299,0.019398532731520736
-24.666634,0.010456813557895918
-24.411964,0.010254720297374066
-24.157299,0.01720858400622605
-23.90263,0.025894963790808675
-23.647964,0.03960705202417481
-23.3933,0.04016250595578828
-23.13863,0.026910270650555693
-22.883965,0.013835522440391696
-22.629295,0.005609802343465465
-22.37463,0.0037816852642545374
-22.119963,0.0027724291009302566
-21.865295,0.0010153068597470504
-21.61063,0.0032722166254541074
-21.35596,0.004527534443305917
-21.101295,0.008370130051550276
-20.846626,0.011181686989348077
-20.59196,0.015227989377160484
-20.337294,0.016414329255792157
-20.082626,0.015902036958661166
-19.827961,0.010004221465469762
-19.573292,0.006888516187485509
-19.318626,0.007872762805595486
-19.063957,0.006755804245945254
-18.809292,0.008407644369371626
-18.554623,0.008379811165826756
-18.299957,0.008251536401663248
-18.045292,0.009796077508525226
-17.790623,0.015198139274808092
-17.535957,0.01599763796214149
-17.281288,0.011157080823895452
-17.026623,0.009264422982841181
-16.771955,0.009175276055545193
-16.517288,0.007376202319163805
-16.262623,0.00851938056331281
-16.007954,0.00731488859541262
-15.753288,0.009033286379489943
-15.498619,0.008220476160026172
-15.243954,0.007030102483779336
-14.989286,0.00915631720675369
-14.734619,0.011578209294922866
-14.479954,0.012839174429436046
-14.225285,0.016797136649475228
-13.970619,0.015666059798171667
-13.71595,0.013783889830917164
-13.461285,0.006974839456450912
-13.206619,0.0033658007301268352
-12.95195,0.0009467323002885671
-12.697285,0.000730117368352082
-12.4426155,0.0014436961664817914
-12.18795,0.003626384056069088
-11.933283,0.006581947568729978
-11.678616,0.01679350623162143
-11.42395,0.038857169047508175
-11.169281,0.03707382712182602
-10.914616,0.03241600101554864
-10.659946,0.031017886762118724
-10.405281,0.019314226361362947
-10.150614,0.006921593327930202
-9.8959465,0.009380999733920595
-9.641281,0.018238815917149306
-9.386612,0.03027284434259032
-9.131947,0.03805444332208224
-8.877277,0.034447018114804405
-8.622612,0.023476298740731594
-8.367947,0.016138014119150692
-8.113277,0.008115597422030798
-7.858612,0.004586427888487963
-7.603943,0.0031161086577456646
-7.3492775,0.001865631397032188
-7.09461,0.002897073447240078
-6.839943,0.0029434621198148893
-6.5852776,0.005450870717426421
-6.3306084,0.011999741145711862
-6.075943,0.015184827742677666
-5.821274,0.0158193441075496
-5.5666084,0.01581652044921886
-5.311941,0.014808474425179184
-5.057274,0.009255145248326225
-4.8026085,0.008809410611846074
-4.5479393,0.010843251369432443
-4.293274,0.005707420245753518
-4.0386047,0.005197951606952993
-3.7839394,0.004187081924582541
-3.529274,0.005074114020166242
-3.2746048,0.010030441149968653
-3.0199356,0.014980314203586803
-2.765274,0.01644014556052957
-2.5106049,0.010265208171173552
-2.2559357,0.007240263339531383
-2.0012703,0.00840240043247192
-1.7466049,0.009063943241365483
-1.4919357,0.007473013461928617
-1.2372665,0.006728777801923426
-0.982605,0.00821200518503423
-0.7279358,0.008006281506658787
-0.4732666,0.009910637360797022
-0.21860123,0.01628121393449034
0.036064148,0.02230085011566074
0.29073334,0.01574955940880654
0.5453987,0.009057085785419658
0.8000641,0.005840535567055191
1.0547333,0.005429088210304303
1.3094025,0.00343881246696206
1.5640678,0.0028498780151421754
1.8187332,0.00245375908932908
2.0734024,0.002637700260582394
2.3280678,0.005515008099508185
2.5827332,0.013142516010099468
2.8374023,0.028958633079556637
3.0920715,0.03274233524261879
3.346737,0.04032022744254284
3.6014023,0.03735619295489019
3.8560715,0.020502179759040853
4.110737,0.009139375256769833
4.365402,0.007083751992061383
4.6200714,0.010005028224992845
4.8747406,0.019905581091751903
5.129406,0.035734606313577874
5.3840714,0.0479787955947712
5.6387405,0.03229902088470782
5.893406,0.017413904304840067
6.1480713,0.010279326462826751
6.4027405,0.005074114020166202
6.6574097,0.003375078464641835
6.912071,0.002189141965771627
7.1667404,0.0029281336888771353
7.4214096,0.003007599501896669
7.676075,0.005209649620037072
7.9307404,0.010172027446262286
8.18541,0.01220344792527968
8.440079,0.014918193720312698
8.69474,0.0180984397601402
8.9494095,0.018478826875254
9.204079,0.012361572791795781
9.458744,0.0072362295419162006
9.713409,0.006070462031121875
9.968079,0.005276610660449557
10.222748,0.005487578275724727
10.477409,0.005480317440017382
10.732079,0.007006303077849489
10.986748,0.008198290273142499
11.241413,0.007180563134826345
11.4960785,0.005798987451618603
11.750748,0.005471846465025442
12.005413,0.0032379293457248455
12.260078,0.0015598695377996865
12.514748,0.0011197822179808618
12.769417,0.0008152304980329055
13.024082,0.00028397935211043224
13.278748,9.640776300339902e-05
13.533417,8.591988920386595e-05
13.788082,3.832107734444728e-05
14.0427475,5.606978685134905e-05
14.297417,0.00015046065104714623
14.552086,0.0002932570866254038
14.806751,0.0002916435675793219
15.061417,0.00010770239632597305
15.316086,2.985010235251686e-05
