z,density
-1.7678604,0.0002711289604270756
-1.7206879,0.00036485255168581827
-1.6735115,0.0003146434849400633
-1.6263351,0.0003949779917332712
-1.5791626,0.00038158890726773656
-1.5319824,0.0004619234140609446
-1.4848099,0.0004150616184315733
-1.4376373,0.00048535431187563015
-1.3904572,0.00044518705847902625
-1.3432846,0.0005389106497377689
-1.2961044,0.0005121324808066996
-1.2489319,0.0004987433963411648
-1.2017593,0.00048535431187563026
-1.1545792,0.00044518705847902625
-1.1074066,0.0003916307206168876
-1.0602303,0.00032468529828921425
-1.0130539,0.00036485255168581827
-0.96588135,0.00047531249852647914
-0.9187012,0.0003681998228022019
-0.8715286,0.00035146346722028356
-0.82435226,0.0003615052805694345
-0.7771759,0.0003983252628496549
-0.73000336,0.00038828344950050394
-0.6828232,0.0003447689249875162
-0.63565063,0.0004518816007117936
-0.5884781,0.0004317979740134915
-0.5412979,0.00048200704075924657
-0.49412537,0.0005556470053196872
-0.446949,0.0005087852096903159
-0.39977264,0.0005456051919705362
-0.3526001,0.0005389106497377689
-0.30541992,0.0007263578322552543
-0.25824738,0.0005723833609016056
-0.21107101,0.0005556470053196872
-0.16389465,0.0006192451565309769
-0.11672211,0.000779914170117393
-0.06954193,0.0007765668990010092
-0.022369385,0.0007866087123501601
0.024803162,0.0008736377613761346
0.07198334,0.0009037632014235871
0.119155884,0.0009271940992382723
0.16633606,0.0010108758771478618
0.2135086,0.0010142231482642451
0.26068115,0.00107447402835915
0.30786133,0.0011347249084540537
0.35503387,0.0012150594152472616
0.40221024,0.0012184066863636439
0.4493866,0.0011849339751998078
0.49655914,0.001231795770829178
0.5437393,0.0010376540460789307
0.59091187,0.0010510431305444643
0.6380882,0.0011414194506868213
0.6852646,0.0010979049261738343
0.73243713,0.0011748921618506569
0.7796173,0.0012016703307817262
0.82678986,0.0013389084465534526
0.8739624,0.0012485321264110961
0.9211426,0.0013221720909715354
0.9683151,0.001358992073251755
1.0154915,0.0013656866154845215
1.0626678,0.0014995774601398659
1.1098404,0.0013924647844155906
1.1570206,0.0015933010513986046
1.2041931,0.001419242953346659
1.2513695,0.0013623393443681373
1.2985458,0.0013757284288336725
1.3457184,0.0013723811577172884
1.3928986,0.001372381157717288
1.4400711,0.00134560298878622
1.4872475,0.0012886993798076987
1.5344238,0.001288699379807699
1.5815964,0.0012351430419455611
1.6287766,0.0012384903130619456
1.6759491,0.0010209176904970123
1.7231216,0.0010744740283591494
1.7703018,0.0010610849438936149
1.8174744,0.0011447667218032042
1.8646507,0.0010443485883116976
1.9118271,0.0010543904016608483
1.9589996,0.0009740558948676422
2.0061798,0.0009774031659840257
2.0533524,0.0008334705079795315
2.1005287,0.0010476958594280807
2.147705,0.001030959503846163
2.1948776,0.0009238468281218884
2.2420578,0.0009606668104021077
2.2892303,0.0009372359125874229
2.3364067,0.0008100396101648459
2.383583,0.0009171522858891213
2.4307556,0.0007866087123501601
2.477932,0.0008635959480269839
2.5251083,0.0007531360011863235
2.572281,0.0008267759657467642
2.619461,0.0007598305434190907
2.6666336,0.0007933032545829276
2.71381,0.0007062742055569523
2.7609863,0.0007129687477897195
2.8081589,0.0008066923390484623
2.855339,0.0007832614412337767
2.9025116,0.0007564832723027073
2.949688,0.0007297051033716378
2.9968643,0.0007430941878371726
3.0440369,0.0006225924276473605
3.091217,0.0007129687477897195
3.1383896,0.0006794960366258829
3.1855621,0.0007832614412337767
3.2327423,0.0007631778145354746
3.2799149,0.0007129687477897195
3.3270912,0.0006928851210914177
3.3742676,0.0006861905788586502
3.4214401,0.0006962323922078013
3.4686203,0.0007464414589535562
3.5157928,0.000719663290022487
3.5629692,0.0006359815121128951
3.6101456,0.0007029269344405686
3.657318,0.0006861905788586502
3.7044983,0.0006192451565309767
3.7516708,0.0006527178676948134
3.7988472,0.000639328783229279
3.8460236,0.0006158978854145931
3.893196,0.0005891197164835239
3.9403763,0.0005824251742507565
3.9875488,0.0006225924276473604
4.0347214,0.0006025088009490585
4.0819016,0.0005924669875999074
4.129074,0.0005790779031343728
4.1762505,0.0006426760543456624
4.223427,0.0005857724453671401
4.2705994,0.0005891197164835238
4.3177795,0.0006025088009490585
4.364952,0.0005824251742507564
4.4121284,0.0005389106497377689
4.459305,0.0005891197164835238
4.5064774,0.0006594124099275809
4.5536575,0.0005723833609016055
4.60083,0.0006694542232767318
4.6480064,0.000605856072065442
4.695183,0.0006158978854145932
4.7423553,0.000605856072065442
4.7895317,0.0006527178676948134
4.836708,0.0004887015829920138
4.8838806,0.0005790779031343728
4.931061,0.0005556470053196872
4.9782333,0.000518827023039467
5.0254097,0.0006192451565309767
5.072586,0.0005422579208541524
5.1197586,0.0004518816007117936
5.166939,0.000488701582992014
5.2141113,0.0005322161075050014
5.2612877,0.0005589942764360708
5.308464,0.0005121324808066996
5.3556366,0.000518827023039467
5.402817,0.0005255215652722341
5.4499893,0.0005255215652722341
5.497162,0.0005020906674575486
5.544342,0.00046527068517732823
5.5915146,0.0004987433963411648
5.638691,0.00048535431187563015
5.6858673,0.00040836707619880587
5.73304,0.00042510343178072416
5.78022,0.0004920488541083975
5.8273926,0.00044518705847902614
5.874569,0.00039163072061688763
5.9217453,0.0003983252628496549
5.968918,0.0004317979740134915
6.016098,0.0003414216538711326
6.0632706,0.0004050198050824222
6.110447,0.0004351452451298752
6.1576233,0.00045188160071179346
6.204796,0.0003615052805694346
6.251972,0.0004150616184315733
6.2991486,0.0003414216538711326
6.346321,0.00036485255168581827
6.3935013,0.0003380743827547489
6.440674,0.0002912125871253776
6.48785,0.00030794894270729596
6.5350266,0.00032803256940559794
6.582199,0.00032468529828921425
6.6293793,0.0003414216538711326
6.676552,0.00029790712935814494
6.723728,0.0002845180448926103
6.7709045,0.0002845180448926102
6.818077,0.00033472711163836516
6.8652573,0.0002309617070304716
6.91243,0.0002811707737762266
6.959606,0.00023765624926323892
7.0067825,0.00023430897814685525
7.053955,0.00022091989368132057
7.1011314,0.00027447623154345927
7.148308,0.00022091989368132057
7.1954803,0.00021087808033216958
7.2426605,0.0002476980626123899
7.289833,0.00023765624926323892
7.3370094,0.0002175726225649369
7.384186,0.00020418353809940228
7.4313583,0.0002711289604270756
7.4785385,0.00022761443591408793
7.525711,0.00018409991140110044
7.5728874,0.00017740536916833314
7.620064,0.00020753080921578595
