z,density
-51.856003,0.0
-51.061108,0.0
-50.266216,0.017056603199923876
-49.47132,0.03377469265227722
-48.67643,0.034193663012386605
-47.881535,0.033813232362974614
-47.086643,0.03037346385406265
-46.29175,0.025659500992498994
-45.496857,0.03187035416388946
-44.701965,0.025336085275923285
-43.90707,0.023487371112253675
-43.11218,0.01639765361031593
-42.317284,0.006620287932976863
-41.522392,0.0015952261695965282
-40.7275,0.0002548786021908249
-39.932606,0.00010489158375429186
-39.137714,8.820428633883658e-05
-38.34282,8.403246198497275e-05
-37.547928,0.0
-36.753036,0.0
-35.95814,0.0
-35.163246,0.0
-34.368355,0.0
-33.573463,0.0
-32.778572,0.0
-31.983677,0.0
-31.188786,0.0
-30.39389,0.0
-29.598999,0.0
-28.804108,0.0
-28.009212,0.0
-27.214321,0.0
-26.419426,0.0
-25.624535,0.0
-24.82964,0.0
-24.034748,0.0
-23.239857,0.0
-22.444962,0.0
-21.65007,0.0
-20.855175,0.0
-20.060284,0.0
-19.26539,0.0
-18.470497,0.0
-17.675606,0.0
-16.88071,0.0
-16.08582,0.0
-15.290924,0.0
-14.496033,0.0
-13.701141,0.0
-12.906246,0.0
-12.111351,0.0
-11.31646,0.0
-10.521568,3.1586670107826926e-05
-9.726677,0.0005055853800277855
-8.931782,0.0005093598877765266
-8.136887,0.0008748911644960488
-7.3419952,0.004006540646129873
-6.547104,0.01661736969295263
-5.7522125,0.022433687475449323
-4.9573174,0.025661686233827197
-4.162422,0.02979636148511144
-3.3675308,0.028222590412191894
-2.5726395,0.028756782587789128
-1.7777443,0.03425306184485353
-0.98285294,0.03461024947286519
-0.18795776,0.031592629856903684
0.6069336,0.03225892980370654
1.401825,0.03274623861989833
2.1967201,0.02983569582901927
2.9916153,0.028710892519896544
3.7865067,0.028432373579700583
4.581398,0.027206254536269646
5.3762894,0.026059201497259606
6.1711845,0.025761611360017343
6.9660797,0.025369261212451543
7.760971,0.025036707213957843
8.555862,0.024661640338715176
9.350754,0.02445384375423228
10.145649,0.024376565674534518
10.940544,0.024203931609605555
11.7354355,0.024213069891523557
12.530327,0.02421207660001076
13.325222,0.02456032460440705
14.120117,0.024697994808084565
14.915009,0.02497671240658322
15.7099,0.02539707337481068
16.504791,0.025770352325330155
17.29969,0.026286665253696426
18.094582,0.02674059947505742
18.889473,0.027308563562090615
19.684364,0.027648070601174104
20.479256,0.02833900417749495
21.274147,0.028852933206230523
22.069046,0.02930349023644784
22.863937,0.029919132316096553
23.658829,0.030472991663647666
24.45372,0.03095453938906514
25.24862,0.031231469062840574
26.04351,0.0318063861904636
26.838402,0.032071992340993
27.633293,0.03232846020960429
28.428185,0.03260678049149772
29.223083,0.03288053163243227
30.017975,0.033020983052345666
30.812866,0.03331062685748536
31.607758,0.03342147819031657
32.402657,0.0334991535866195
33.197548,0.03366284802793303
33.99244,0.03364675670542527
34.78733,0.03376456107884617
35.582222,0.033671390334943284
36.377113,0.03381164309655412
37.172012,0.03391971321314946
37.966904,0.033866075471456966
38.761795,0.03381084846334388
39.556686,0.03400116311720122
40.351585,0.03388832520134423
41.146477,0.03392706357034434
41.94137,0.03383011831869271
42.73626,0.033968781813883075
43.53115,0.03390163530761605
44.32605,0.03383091295190303
45.12094,0.033941168309826485
45.915833,0.03395070390834959
46.710724,0.03388653727662115
47.505623,0.033963815356318885
48.300514,0.03384422305817478
49.095406,0.03393878441019577
49.890297,0.03381819882053879
50.68519,0.0341108225002169
51.48008,0.033890113126067246
52.27498,0.033878590944518484
53.06987,0.03398030399543181
53.86476,0.033826145152641325
54.659653,0.03395884889875478
55.45455,0.03397335095484208
56.249443,0.03387878960282119
57.044334,0.03383289953492865
57.839226,0.03390481384045707
58.634117,0.034040497461109084
59.429016,0.03390819103160075
60.223907,0.033852169390277374
61.0188,0.033953286466282886
61.81369,0.03401010274081656
62.60859,0.03380131286482082
63.40348,0.034042881360739755
64.19837,0.03386170498880052
64.99326,0.033915938705400835
65.788155,0.03398248923675999
66.583046,0.03393203002790848
67.377945,0.03381998674526187
68.17284,0.03396361669801642
68.96773,0.033927858203554616
69.76262,0.03392507698731874
70.55752,0.03402539943011399
71.35241,0.033766944978477036
72.1473,0.034045066602067915
72.94219,0.03391295883086219
73.73708,0.033949909275139384
74.53198,0.03386249962201073
75.32687,0.03400354701683189
76.121765,0.03392845417846231
76.91666,0.033906403106877585
77.711555,0.033897264824959604
78.50645,0.03401129469063193
79.30135,0.033846209641200393
80.096245,0.03389150373418537
80.891136,0.03402917393786276
81.68603,0.033766746320174484
82.48092,0.03401069871572428
83.27581,0.03396321938141124
84.0707,0.033885146668503174
84.86559,0.03396679523085743
85.660484,0.03398447581978565
86.455376,0.033783830934195076
87.25027,0.0340051362832523
88.04517,0.03394037367661625
88.840065,0.03380290213124133
89.63496,0.034014274565170324
90.42985,0.03401983699764222
91.22474,0.03377985776814377
92.01963,0.03386488352164147
92.81452,0.03402361150539093
93.60941,0.033906999081785356
94.40432,0.03388276276887234
95.19921,0.03396659657255486
95.9941,0.03389070910097497
96.788994,0.03395169719986243
97.583885,0.03392527564562129
98.37878,0.033979310703918984
99.17367,0.03396540462273943
99.96856,0.03399659397624213
100.76345,0.033896668850051964
101.55834,0.03419644422862243
102.35323,0.03413505881312998
103.14814,0.03422445504928404
103.94303,0.03426597463452011
104.73792,0.017432862024981868
105.532814,0.0
106.327705,0.0
