frame,time_ns,Rg,Rg_parallel,Rg_perp,F_index,Rg_x,Rg_y,Rg_z
900,8.99,21.267458388939716,18.11867404812357,11.136356543463206,1.6269840119979662,13.751386046055217,11.797700245153901,11.136356543463206
901,9.0,20.999324222864114,17.768062978570953,11.192298950908336,1.5875257671819913,13.636670098276111,11.390579030112816,11.192298950908336
902,9.01,20.679535770104398,17.380619280496145,11.205234182892962,1.5511161120604822,13.513600532205249,10.930165928728455,11.205234182892962
903,9.02,20.96615521742529,17.786708060527896,11.100120763789985,1.6023886981978084,13.52746231860344,11.548798502407605,11.100120763789985
904,9.03,21.172921641605612,18.137496199135796,10.923545325026376,1.6604038029285149,14.0769334408805,11.43716369012378,10.923545325026376
905,9.04,21.39202455995294,18.169953739733238,11.290327535974493,1.60933805346551,14.216332131681153,11.315613974759648,11.290327535974493
906,9.05,21.359509920715784,18.079731139480636,11.373301454601924,1.589664286280315,14.206292108661707,11.18293085909422,11.373301454601924
907,9.06,21.4950356690053,18.27425198609691,11.31760896834854,1.6146742688498699,14.357643165120413,11.305147871409643,11.31760896834854
908,9.07,21.480718477690232,18.272044460582904,11.293965536881368,1.617859059416646,14.215420037209118,11.47995827236458,11.293965536881368
909,9.08,21.523292735383254,18.229428187740137,11.442905143407724,1.593076929265829,14.149222824460416,11.493978663445613,11.442905143407724
910,9.09,21.656045464002254,18.289350598381006,11.596721943223141,1.5771138333681343,14.03922898776146,11.721791447543245,11.596721943223141
911,9.1,21.69281619657198,18.350378192565564,11.56900577958494,1.5861672595018723,14.027615395681638,11.830569982930715,11.56900577958494
912,9.11,21.559241685431203,18.1916928172685,11.569927160227769,1.5723256132331929,13.883823153138986,11.754877379633534,11.569927160227769
913,9.12,21.579485733398553,18.330699103242715,11.38682022797973,1.6098172041216972,13.850343422718385,12.007602453711767,11.38682022797973
914,9.13,21.564743613046286,18.251750957472836,11.485284240401281,1.5891422950830814,13.941825251359768,11.779300559632464,11.485284240401281
915,9.14,21.501656852952017,18.229948025004383,11.401326345111665,1.598932218339711,14.038315261228691,11.629991815161123,11.401326345111665
916,9.15,21.2460691544377,18.0223859259002,11.251180384878003,1.601821791971529,13.794275795392071,11.598463249187194,11.251180384878003
