# Time-averaged data for fix msd_out
# TimeStep c_msd_poly[1] c_msd_poly[2] c_msd_poly[3] c_msd_poly[4]
5344000 19.7209 11.8861 28.0353 59.6423
5345000 19.2212 12.3884 27.7993 59.4088
5346000 19.4508 12.2506 28.4094 60.1108
5347000 19.827 12.205 28.3129 60.3449
5348000 20.3237 13.0932 28.4296 61.8464
5349000 21.0683 13.3658 29.397 63.8311
5350000 20.8621 13.0924 28.4229 62.3774
5351000 20.2543 12.7215 28.8562 61.8319
5352000 20.3765 13.2091 27.7503 61.3359
5353000 20.3552 12.6385 26.419 59.4127
5354000 20.6897 12.5182 26.266 59.4739
5355000 19.9816 12.7828 26.3633 59.1278
5356000 19.5585 12.5168 26.0989 58.1743
5357000 19.243 12.2622 26.1109 57.6161
5358000 20.0694 12.2796 25.6608 58.0099
5359000 20.9392 11.7369 25.1384 57.8145
5360000 21.0478 12.0506 25.1113 58.2097
5361000 20.6335 12.0516 26.4093 59.0943
5362000 20.3434 12.1863 27.7413 60.2709
5363000 19.5056 11.9966 29.1545 60.6567
5364000 20.2356 12.7027 29.4273 62.3656
5365000 20.5818 13.7063 28.9851 63.2732
5366000 21.4266 13.7411 29.3855 64.5533
5367000 21.4818 15.1352 30.2494 66.8664
5368000 20.9503 15.067 30.6638 66.6811
5369000 20.0972 15.2856 29.704 65.0867
5370000 21.6481 15.2288 27.965 64.8418
5371000 21.2616 15.0243 26.9312 63.2172
5372000 20.717 15.0567 27.6767 63.4503
5373000 21.7452 15.6931 29.3225 66.7608
5374000 21.0386 16.2941 29.4134 66.7462
5375000 21.1781 16.0583 30.3708 67.6071
5376000 21.9079 15.7775 30.422 68.1074
5377000 21.6109 15.1174 30.1034 66.8317
5378000 21.0584 15.0043 30.9883 67.051
5379000 21.8536 15.6021 31.7931 69.2489
5380000 22.7362 15.3038 32.2954 70.3353
5381000 24.1986 15.4296 30.9244 70.5526
5382000 25.3175 14.9433 29.2224 69.4831
5383000 25.9114 13.8072 29.8832 69.6019
5384000 26.2248 13.0314 30.4821 69.7382
5385000 25.33 13.1472 30.3789 68.8561
5386000 25.2851 12.772 28.9987 67.0558
5387000 25.7498 12.1346 27.8526 65.737
5388000 25.7286 12.5111 27.4272 65.6669
5389000 25.7474 12.5468 27.3309 65.6251
5390000 25.0812 12.0081 28.46 65.5492
5391000 24.409 11.8462 28.434 64.6893
5392000 23.7189 11.2236 29.3877 64.3303
5393000 23.9297 11.3092 29.0609 64.2998
5394000 24.0908 10.7184 28.6584 63.4675
5395000 23.7622 10.356 28.5041 62.6223
5396000 23.2509 11.3566 27.0593 61.6669
5397000 23.4717 11.8879 27.5536 62.9132
5398000 22.7413 11.8872 27.4761 62.1045
5399000 23.5918 11.3558 27.499 62.4466
5400000 24.6579 11.6575 28.4746 64.7901
5401000 23.9097 12.0544 29.6279 65.592
5402000 22.788 12.0888 29.2686 64.1454
5403000 21.5655 11.9169 29.6146 63.097
5404000 20.702 12.0633 30.0756 62.8409
5405000 20.8462 12.2644 29.5739 62.6845
5406000 20.9765 12.5191 29.9105 63.4062
5407000 20.6921 13.2337 29.4373 63.3631
5408000 19.4443 12.9782 28.7871 61.2096
5409000 19.1911 12.5867 28.7485 60.5262
5410000 19.5858 12.0119 30.7098 62.3075
5411000 19.6844 11.789 31.9077 63.3811
5412000 19.4068 12.0375 32.5332 63.9775
5413000 18.6457 12.1578 32.5376 63.3412
5414000 19.6014 12.2927 32.8181 64.7122
5415000 20.6368 12.3828 35.8063 68.8258
5416000 20.6169 12.5736 36.1878 69.3783
5417000 20.0075 12.8372 36.8337 69.6784
5418000 20.4895 12.9732 35.8784 69.3411
5419000 19.482 13.7596 36.1975 69.4391
5420000 19.939 14.9139 35.5258 70.3787
5421000 21.1255 16.1388 35.4078 72.6721
5422000 22.0553 16.1159 35.4151 73.5863
5423000 21.4927 16.2156 34.9568 72.6651
5424000 20.7268 15.7831 36.5191 73.029
5425000 20.5017 15.9656 36.8268 73.2942
5426000 20.0484 15.8497 36.4392 72.3373
5427000 20.6359 15.57 36.3992 72.6051
5428000 20.9599 15.1292 35.8143 71.9034
5429000 20.9881 15.0868 35.9631 72.0381
5430000 19.8832 13.9835 35.541 69.4078
5431000 19.5841 14.2134 36.0816 69.8791
5432000 20.1494 15.3558 35.6121 71.1173
5433000 21.7276 15.1046 34.4799 71.3121
5434000 21.6592 15.1496 33.4596 70.2684
5435000 20.7081 15.146 34.0067 69.8608
5436000 19.9569 15.4547 33.7097 69.1212
5437000 19.5752 15.2259 33.7856 68.5866
5438000 19.2474 15.0907 33.6844 68.0225
5439000 19.421 15.2241 32.7451 67.3902
5440000 20.0191 15.0058 34.1073 69.1322
5441000 19.8424 14.8918 34.401 69.1352
5442000 20.1698 15.1575 35.2756 70.6028
5443000 20.3759 16.0147 37.5424 73.933
5444000 19.8943 16.1595 36.5168 72.5706
5445000 19.864 15.4385 35.9577 71.2603
5446000 20.2065 15.1944 34.9583 70.3593
5447000 19.7209 13.98 34.7025 68.4033
5448000 18.118 14.3181 35.1991 67.6352
5449000 17.2769 14.0594 33.9307 65.2669
5450000 17.4874 13.8955 32.0635 63.4463
5451000 17.8281 14.0588 31.9679 63.8548
5452000 17.9286 13.6371 33.5992 65.1648
5453000 19.4051 13.7746 35.0125 68.1922
5454000 19.2937 14.3073 35.7208 69.3217
5455000 19.409 13.574 37.2431 70.226
5456000 18.9239 13.3634 37.3463 69.6336
5457000 18.8938 14.1798 36.7474 69.821
5458000 19.0473 14.0987 36.9598 70.1057
5459000 18.344 14.8073 36.2318 69.3831
5460000 18.8691 15.4194 36.5257 70.8141
5461000 18.8779 14.6884 37.6075 71.1739
5462000 18.8443 14.4777 38.6087 71.9307
5463000 18.9698 15.2857 39.7205 73.976
5464000 19.2922 15.3674 39.4947 74.1543
5465000 19.6562 15.5483 41.293 76.4975
5466000 18.9085 16.6669 40.1312 75.7066
5467000 17.905 16.3187 40.6897 74.9134
5468000 18.372 15.8388 43.337 77.5478
5469000 18.768 16.1475 44.292 79.2076
5470000 19.6215 15.5749 43.4157 78.6121
5471000 19.5964 15.4463 43.3647 78.4074
5472000 20.5586 15.7025 45.5129 81.774
