# Time-averaged data for fix msd_out
# TimeStep c_msd_poly[1] c_msd_poly[2] c_msd_poly[3] c_msd_poly[4]
5009000 0.207708 0.231374 0.263494 0.702577
5010000 0.48724 0.45211 0.482119 1.42147
5011000 0.709698 0.671649 0.558174 1.93952
5012000 0.770292 0.760645 0.85082 2.38176
5013000 0.681845 0.912675 1.10103 2.69555
5014000 0.694285 1.15493 1.05981 2.90902
5015000 0.749718 1.1457 0.989051 2.88447
5016000 0.677323 1.16993 0.973342 2.8206
5017000 0.878065 1.22657 1.09582 3.20046
5018000 1.06569 1.10996 1.35593 3.53157
5019000 1.34272 1.08809 1.59676 4.02757
5020000 1.60852 1.16169 1.79128 4.56148
5021000 1.91847 1.33634 2.0048 5.2596
5022000 2.40396 1.66123 2.40606 6.47125
5023000 2.36999 1.93231 2.69445 6.99676
5024000 2.31354 1.98341 3.07213 7.36908
5025000 2.29652 1.69566 3.23421 7.22639
5026000 2.46936 1.84008 2.98407 7.29351
5027000 2.5079 1.82362 2.8281 7.15963
5028000 2.56214 1.52915 2.28291 6.3742
5029000 2.57697 1.47151 2.30499 6.35347
5030000 2.7453 1.63121 2.31169 6.6882
5031000 3.46213 1.6747 2.52681 7.66364
5032000 4.27382 1.77738 2.57164 8.62285
5033000 4.65158 1.8961 2.64689 9.19458
5034000 4.54991 2.26115 2.82314 9.6342
5035000 4.18428 2.35261 2.66438 9.20127
5036000 4.02593 2.64662 2.70893 9.38148
5037000 4.16404 2.16344 2.70664 9.03412
5038000 4.14618 2.49108 2.65323 9.29049
5039000 4.21682 2.64293 2.67446 9.53421
5040000 3.9804 2.69917 3.01122 9.69078
5041000 3.75239 2.84758 3.26349 9.86345
5042000 3.60716 2.94086 3.45351 10.0015
5043000 4.01477 2.78137 3.54429 10.3404
5044000 4.38913 2.71458 3.30916 10.4129
5045000 3.98491 3.23773 3.04588 10.2685
5046000 3.4307 3.49194 3.07869 10.0013
5047000 3.56779 3.63677 3.16524 10.3698
5048000 3.80129 3.5546 2.92549 10.2814
5049000 3.87445 3.47392 2.50044 9.84881
5050000 3.81032 2.86943 2.3813 9.06105
5051000 4.16117 2.75516 2.77099 9.68732
5052000 3.88026 3.06557 2.69471 9.64055
5053000 3.5787 2.78518 2.58083 8.94471
5054000 3.49973 2.81365 3.1075 9.42088
5055000 3.99009 2.83498 3.35968 10.1847
5056000 3.64341 3.02373 3.1106 9.77773
5057000 3.39748 3.16193 3.14716 9.70657
5058000 3.4388 3.05935 3.00252 9.50067
5059000 3.69297 3.47251 3.05657 10.2221
5060000 3.87716 3.22886 2.85846 9.96448
5061000 3.99891 3.41733 3.10846 10.5247
5062000 4.57801 3.20887 2.81341 10.6003
5063000 4.6898 2.85788 2.74462 10.2923
5064000 4.59671 3.20758 2.61779 10.4221
5065000 4.74099 3.30698 2.7727 10.8207
5066000 4.81394 3.51934 2.84312 11.1764
5067000 4.73997 4.25868 2.7762 11.7748
5068000 4.50638 4.27889 2.7234 11.5087
5069000 4.19261 4.12723 2.86403 11.1839
5070000 4.19474 3.55877 3.02486 10.7784
5071000 4.41629 3.34051 3.00351 10.7603
5072000 4.48283 3.78408 3.59169 11.8586
5073000 4.82494 4.10013 3.69547 12.6205
5074000 4.74028 4.16121 3.66465 12.5661
5075000 4.96309 3.56694 3.95151 12.4815
5076000 4.94184 3.57881 4.14742 12.6681
5077000 5.09853 3.9192 3.99313 13.0109
5078000 5.32254 3.91052 4.04601 13.2791
5079000 5.41609 4.33089 3.8912 13.6382
5080000 6.14846 4.46499 3.92511 14.5386
5081000 6.40542 4.29957 4.22774 14.9327
5082000 6.74779 4.07729 4.13804 14.9631
5083000 6.91862 4.7444 4.14787 15.8109
5084000 7.00116 5.38989 4.21207 16.6031
5085000 7.41064 5.47603 4.18316 17.0698
5086000 7.39329 5.16216 4.43923 16.9947
5087000 7.30878 5.19221 4.87294 17.3739
5088000 7.35547 5.17179 4.74299 17.2703
5089000 6.76522 5.23814 4.72194 16.7253
5090000 7.19056 5.66844 4.49251 17.3515
5091000 7.55196 5.99462 4.71642 18.263
5092000 7.64396 6.37262 4.46167 18.4782
5093000 8.06033 5.98883 4.94085 18.99
5094000 9.62803 6.16611 5.21965 21.0138
5095000 10.8777 6.50711 5.54016 22.925
5096000 11.1121 7.4285 6.11166 24.6523
5097000 11.4149 7.48051 5.54823 24.4437
5098000 10.9874 8.08812 5.58015 24.6556
5099000 10.2116 8.03327 5.14463 23.3894
5100000 9.43081 8.0181 4.87645 22.3254
5101000 9.55257 8.16876 5.43073 23.1521
5102000 9.34876 7.77536 5.39941 22.5235
5103000 9.55904 8.05369 5.66927 23.282
5104000 10.1317 8.42735 6.15783 24.7168
5105000 9.94803 7.82634 6.44874 24.2231
5106000 9.7073 8.08633 6.39264 24.1863
5107000 8.70608 7.99936 6.29902 23.0045
5108000 8.87946 7.54609 6.53862 22.9642
5109000 9.21567 7.22738 6.68417 23.1272
5110000 8.85404 7.57136 6.75661 23.182
5111000 8.24875 7.81079 6.23998 22.2995
5112000 7.95647 8.20762 6.19168 22.3558
5113000 7.6674 8.36746 6.07648 22.1113
5114000 7.71747 7.59671 6.08878 21.403
5115000 7.45716 7.15019 5.90694 20.5143
5116000 7.51353 7.22994 5.4 20.1435
5117000 8.14357 7.67491 5.51679 21.3353
5118000 8.51372 7.50021 5.36995 21.3839
5119000 8.89548 6.8922 5.44671 21.2344
5120000 9.42096 7.31981 5.64603 22.3868
5121000 9.89122 6.65981 6.12975 22.6808
5122000 10.2286 6.16369 6.42584 22.8181
5123000 11.1419 5.99381 6.48352 23.6192
5124000 11.6209 6.06535 6.53964 24.2259
5125000 11.3716 6.10205 6.28964 23.7633
5126000 11.4533 6.06933 6.38933 23.912
5127000 10.7541 6.25769 6.49689 23.5087
5128000 10.0232 6.53938 6.84306 23.4056
5129000 9.34649 6.12286 6.60319 22.0725
5130000 9.68553 6.09153 6.4383 22.2154
5131000 10.6013 6.18823 6.42621 23.2157
5132000 11.3116 5.85873 6.79422 23.9645
5133000 11.3222 6.05407 6.75697 24.1332
5134000 11.0598 6.22325 6.70562 23.9887
5135000 10.1379 6.22188 7.03859 23.3984
5136000 9.45665 6.17876 6.38943 22.0248
5137000 9.55161 6.60328 6.62298 22.7779
5138000 10.3702 6.91098 6.78601 24.0672
5139000 11.1621 6.67645 7.23891 25.0774
5140000 11.2733 6.92114 7.60966 25.8041
5141000 11.8382 6.75876 7.33054 25.9275
5142000 11.9555 6.90374 7.73164 26.5909
5143000 12.339 6.48428 8.12334 26.9466
5144000 12.0841 6.14548 7.82099 26.0506
5145000 11.951 6.39385 7.36206 25.7069
5146000 11.7063 6.42199 7.24512 25.3734
5147000 12.4602 6.61795 7.34236 26.4205
5148000 12.934 7.22909 7.45893 27.622
5149000 11.8887 7.31844 7.73411 26.9413
5150000 12.4704 6.72744 7.56358 26.7614
5151000 13.9784 6.44865 7.32594 27.753
5152000 14.485 6.33071 7.56376 28.3795
5153000 15.2886 6.44182 7.80387 29.5343
5154000 16.4643 5.96937 6.55227 28.9859
5155000 17.1389 5.64639 6.03088 28.8161
5156000 17.3943 6.07519 6.25436 29.7239
5157000 16.5985 5.83659 6.42305 28.8582
5158000 15.9083 6.61156 6.9246 29.4445
5159000 15.9707 6.37361 7.58931 29.9336
5160000 17.0223 6.41174 7.78195 31.216
5161000 17.9619 6.96722 7.83388 32.763
5162000 18.5727 7.21548 7.223 33.0112
5163000 19.3395 7.65431 7.3491 34.3429
5164000 19.4213 7.43334 7.20063 34.0553
5165000 19.9741 7.69611 7.70121 35.3715
5166000 19.536 7.89491 7.75195 35.1829
5167000 19.6908 8.3856 7.40397 35.4804
5168000 19.658 8.75455 7.70117 36.1137
5169000 19.2099 8.93548 7.94945 36.0948
5170000 20.0094 9.27085 8.03577 37.316
5171000 20.2197 9.18391 7.85892 37.2626
5172000 19.4509 10.0041 8.14025 37.5953
5173000 19.0375 9.50586 8.14636 36.6898
5174000 19.994 8.69154 8.61608 37.3016
