# Time-averaged data for fix eint_out
# TimeStep c_eint_total c_eint_water c_eint_pair
5187000 -2852.99 -4577.9 -1102.49
5188000 -2851.83 -4540.38 -1108.36
5189000 -2852.75 -4511.67 -1111.3
5190000 -2837.41 -4541.95 -1124.05
5191000 -2878.09 -4531.83 -1122.28
5192000 -2862.81 -4529.67 -1111.83
5193000 -2895.48 -4518.29 -1128.04
5194000 -2848.53 -4547.87 -1125.48
5195000 -2847.9 -4521.45 -1127.96
5196000 -2892.79 -4446.8 -1143.33
5197000 -2856.62 -4516.82 -1123.28
5198000 -2870.93 -4480.97 -1138.55
5199000 -2879.21 -4432.56 -1128.55
5200000 -2920.87 -4421.31 -1143.71
5201000 -2897.97 -4532.21 -1139.06
5202000 -2864 -4605.66 -1116.44
5203000 -2884.33 -4470.25 -1125.72
5204000 -2849.86 -4469.66 -1121.47
5205000 -2868.99 -4448.61 -1123.44
5206000 -2828.17 -4469.26 -1122.82
5207000 -2849 -4465.94 -1133.25
5208000 -2923.09 -4437.94 -1160.7
5209000 -2910.67 -4491.72 -1156.44
5210000 -2885.29 -4462 -1129.65
5211000 -2909.98 -4488.79 -1154.18
5212000 -2838.95 -4533.53 -1122.84
5213000 -2827.23 -4575.93 -1115.04
5214000 -2822.55 -4613.3 -1120.3
5215000 -2830.47 -4533.48 -1128.8
5216000 -2831.87 -4536.11 -1115.5
5217000 -2836.96 -4525.18 -1111.5
5218000 -2875.65 -4473.22 -1132.04
5219000 -2841.39 -4496.72 -1124.6
5220000 -2890.84 -4460.07 -1130.63
5221000 -2889.87 -4491.75 -1125.08
5222000 -2840.05 -4549.35 -1108.96
5223000 -2859.45 -4581.78 -1117.78
5224000 -2817.15 -4610.99 -1106.35
5225000 -2875.04 -4545.72 -1122.78
5226000 -2866.06 -4493.73 -1120.91
5227000 -2891.5 -4481.96 -1134.88
5228000 -2894.92 -4503.15 -1142.65
5229000 -2871.38 -4528.64 -1134.03
5230000 -2857.32 -4516.62 -1122.19
5231000 -2866.92 -4490.69 -1123.12
5232000 -2852.18 -4491.01 -1134.31
5233000 -2887.91 -4460.11 -1142.74
5234000 -2848.48 -4504.14 -1136.1
5235000 -2867.09 -4480.97 -1123.22
5236000 -2859.82 -4539.74 -1117.31
5237000 -2814.36 -4595.54 -1101.39
5238000 -2828.19 -4574.35 -1098.1
5239000 -2853.4 -4541.08 -1125.55
5240000 -2847.23 -4546.43 -1117.15
5241000 -2804.75 -4590.68 -1104.58
5242000 -2798.82 -4594.85 -1108.48
5243000 -2778.42 -4590.69 -1082.02
5244000 -2806.57 -4569.96 -1101.13
5245000 -2838.06 -4538.31 -1121.33
5246000 -2833.66 -4513.93 -1117.81
5247000 -2816.23 -4556.97 -1118.95
5248000 -2787.8 -4573.32 -1103.06
5249000 -2788.67 -4588.63 -1103.42
5250000 -2778.38 -4664.92 -1094.57
5251000 -2789.55 -4657.27 -1102.48
5252000 -2831.29 -4608.15 -1097.19
5253000 -2837.81 -4647.91 -1103.03
5254000 -2787.38 -4675.45 -1091.52
5255000 -2852.01 -4576.61 -1103.25
5256000 -2895.18 -4546.12 -1107.42
5257000 -2854.72 -4575.7 -1095.69
5258000 -2821.73 -4557.65 -1082.63
5259000 -2858.12 -4462.98 -1089.26
5260000 -2820.06 -4553.09 -1086.33
5261000 -2773.68 -4652.79 -1084.49
5262000 -2761.52 -4605.56 -1075.16
5263000 -2807.23 -4562.13 -1076.74
5264000 -2820.14 -4538.08 -1091.12
5265000 -2748.32 -4563.43 -1062.48
5266000 -2739.37 -4625.78 -1076.53
5267000 -2727.29 -4637.94 -1072.36
5268000 -2783.32 -4603.93 -1095.63
5269000 -2774.56 -4612 -1088.84
5270000 -2720.44 -4675.44 -1069.13
5271000 -2764.95 -4604.95 -1080.57
5272000 -2764.51 -4588.52 -1076.26
5273000 -2823.83 -4607.81 -1095.66
5274000 -2787.72 -4620.22 -1088.35
5275000 -2778.28 -4597.72 -1080.65
5276000 -2725.78 -4564.99 -1082.31
5277000 -2707.41 -4590.97 -1060.26
5278000 -2700.39 -4626.06 -1063.3
5279000 -2687.51 -4729.57 -1060.76
5280000 -2739.37 -4670.52 -1083.51
5281000 -2756.92 -4627.43 -1078.64
5282000 -2778.08 -4618.33 -1093.18
5283000 -2774.97 -4662.93 -1093.74
5284000 -2792.31 -4654.45 -1092.28
5285000 -2724.38 -4707.77 -1089.86
5286000 -2717.53 -4690.5 -1084.9
5287000 -2749.31 -4658.55 -1084.45
5288000 -2774.44 -4656.05 -1075.1
5289000 -2754.71 -4595.43 -1083.13
5290000 -2744.31 -4620.98 -1076.06
5291000 -2755.37 -4645.41 -1096.17
5292000 -2732.52 -4559.58 -1081.06
5293000 -2745.98 -4576.72 -1084.66
5294000 -2744.06 -4650.52 -1073.9
5295000 -2820.91 -4561.3 -1092.97
5296000 -2764.21 -4617.2 -1080.03
5297000 -2799.42 -4621.48 -1091.11
5298000 -2795.44 -4658.68 -1104.37
5299000 -2736.14 -4621.3 -1088.39
5300000 -2776.18 -4564.23 -1087.61
5301000 -2759.25 -4579.02 -1070.31
5302000 -2792.21 -4545.2 -1077.05
5303000 -2767.53 -4537.54 -1072.28
5304000 -2729.47 -4560.86 -1068.53
5305000 -2743.29 -4583.16 -1082.44
5306000 -2747.82 -4597.26 -1074.58
5307000 -2778.85 -4518.32 -1083.94
5308000 -2762.93 -4537.11 -1085.08
5309000 -2751.48 -4591.71 -1067.38
5310000 -2718.46 -4640.9 -1070.88
5311000 -2722.59 -4606.03 -1068.96
5312000 -2701.79 -4630.03 -1048.94
5313000 -2709.96 -4621.5 -1051.75
5314000 -2737.7 -4701 -1072
5315000 -2716.97 -4699.39 -1086.13
5316000 -2722.27 -4654.97 -1082.68
5317000 -2705.14 -4696.55 -1066.19
5318000 -2729.6 -4684.78 -1066.17
5319000 -2769.37 -4600.38 -1064.16
5320000 -2777.26 -4684.38 -1076.13
5321000 -2748.41 -4679.88 -1068.27
5322000 -2755.56 -4694.64 -1076.29
5323000 -2785.57 -4608.78 -1093.24
5324000 -2748.43 -4633.93 -1073.24
5325000 -2725.07 -4666.85 -1066.39
5326000 -2707.65 -4710.45 -1063.3
5327000 -2718.97 -4669.46 -1071.19
5328000 -2713.95 -4702.6 -1052.91
5329000 -2761.68 -4711.61 -1070.24
5330000 -2745.06 -4780.69 -1064.95
5331000 -2797.07 -4701.98 -1083.91
5332000 -2769.97 -4662.44 -1089.49
5333000 -2783.84 -4641.79 -1087.16
5334000 -2777.04 -4675.55 -1099.01
5335000 -2790.06 -4660.91 -1104
5336000 -2785.95 -4636.81 -1097.24
5337000 -2776.1 -4626.48 -1096.56
