optimizer,sc_r,sc_eps,oc_r,oc_eps,ocx_r,ocx_eps,sos_ktheta,oso_ktheta,so_kr,D_11,D_11H,D_14,SE_T11,SE_T11H,SE_T14,BM_T11,BM_T11H,BM_T14,error_D_11,error_D_11H,error_D_14,error_SE_T11,error_SE_T11H,error_SE_T14,error_BM_T11,error_BM_T11H,error_BM_T14,mean_error
pcff1,4.523883227,0.339040234,3.697447514,0.084004377,3.697447514,0.084004377,100.0,100.0,350.0,,,,,,,,,,,,,,,,,,,
pcff2,4.566451867,0.268077514,3.677674262,0.092441877,3.677674262,0.092441877,100.0,100.0,350.0,2.4880249188514356,2.4606640199750314,2.3049085642946316,999.4343104949864,367.85155220850766,1060.0311596654046,76.57374658532694,44.739777989923944,48.68557457654396,1.14,2.96,3.36,46.98,13.19,66.93,7.85,19.17,3.59,18.35222222222222
pcff2,4.4847355,0.1385264,3.7340438,0.08531594,3.7340438,0.08531594,100.0,100.0,350.0,2.4884654556803993,2.5261298377028716,2.305004357053683,967.7767858551472,283.65361726972355,1039.3510618727737,74.97962312518575,44.68688883308455,38.11495134792306,1.16,5.7,3.36,42.32,12.72,63.68,5.61,19.26,18.9,19.19
pcff2,4.8,0.4,3.55,0.085,3.55,0.085,100.0,100.0,350.0,2.505440174781523,2.4582159300873907,2.274618701622971,1003.4399584021359,343.1154725849339,1084.2192609937408,80.86504556398708,48.66525608944495,46.02482849429887,1.85,2.85,2.0,47.56,5.57,70.74,13.89,12.08,2.07,17.62333333333333
pcff2,4.51233826,0.334791002,3.705844271,0.080167762,3.705844271,0.080167762,100.0,100.0,350.0,2.4985487765293386,2.471416004993758,2.302431972534332,995.3845556324442,373.5742243267951,1127.6916424004614,76.03191478441477,51.08489345485354,49.310232283307144,1.57,3.41,3.25,46.38,14.95,77.59,7.09,7.71,4.92,18.54111111111111
pcff2,4.77259229,0.294096718,3.569694063,0.112071613,3.569694063,0.112071613,100.0,100.0,350.0,2.4779634332084894,2.440476504369538,2.2669844444444447,1021.4476717143921,319.56441971741975,1082.933370361783,80.32910671733227,49.35078293744673,40.24325162881949,0.73,2.11,1.66,50.21,1.67,70.54,13.14,10.84,14.38,18.364444444444445
pcff2,4.54246617,0.35398883,3.58599114,0.13145309,3.58599114,0.13145309,110.0,100.0,340.0,2.484404307116105,2.5135538077403248,2.2918000749063667,1036.8450608549133,376.46939821845143,1059.277844550094,78.53484439406134,51.68382482248073,37.890171166410305,0.99,5.17,2.77,52.48,15.84,66.82,10.61,6.62,19.38,20.075555555555557
pcff2,4.575,0.265,3.65,0.11,3.65,0.11,90.0,100.0,350.0,2.4762333208489387,2.449096179775281,2.299086941323346,1015.9585105668742,339.7090470200258,1132.9658846544016,78.43389813076396,45.11418435198286,43.29443445647567,0.66,2.47,3.1,49.41,4.53,78.42,10.47,18.49,7.88,19.492222222222225
pcff2,4.5,0.22,3.65,0.11,3.65,0.11,90.0,100.0,350.0,2.4871237578027467,2.463592534332085,2.305694706616729,999.8625216639404,342.74263170082594,1075.2565448368732,76.74152117343124,44.42560074439831,48.97182258413936,1.1,3.08,3.39,47.04,5.46,69.33,8.09,19.74,4.2,17.936666666666667
pcff2,4.771497,0.379359,3.7846007,0.03872461,3.7846007,0.03872461,100.0,100.0,350.0,2.5170066167290885,2.4621781772784024,2.291946104868914,956.9258381052831,260.75145540246814,1027.3511107053685,79.30253706636401,32.91624425943743,46.47559647977566,2.32,3.02,2.78,40.72,19.77,61.79,11.69,40.53,1.12,20.415555555555557
pcff2,4.523883227,0.339040234,3.697447514,0.084004377,3.697447514,0.084004377,100.0,100.0,350.0,2.4941200998751563,2.468086329588015,2.306534456928839,999.043342464555,381.3161889186978,1055.5201003764462,77.76848778154655,41.69294033627577,35.45799182861198,1.39,3.27,3.43,46.92,17.33,66.22,9.53,24.67,24.56,21.924444444444443
pcff2,4.77259229,0.294096718,3.569694063,0.112071613,3.569694063,0.112071613,100.0,100.0,350.0,2.49537468164794,2.4566854806491882,2.2716207615480646,999.2275809718798,364.18869124682016,1079.345160985669,79.64872067104342,48.781110983986316,33.655996943730365,1.44,2.79,1.87,46.95,12.06,69.98,12.18,11.87,28.39,20.83666666666667
pcff2,4.575,0.265,3.65,0.11,3.65,0.11,100.0,100.0,350.0,2.4936564419475657,2.463622833957553,2.3236381647940076,989.7681471892946,331.67233551110024,1076.076773696166,78.63227518293483,47.216070639776824,46.4465854137968,1.37,3.08,4.2,45.55,2.05,69.46,10.75,14.7,1.18,16.926666666666662
pcff2,4.8,0.4,3.55,0.085,3.55,0.085,100.0,100.0,350.0,2.5227212609238454,2.474508626716604,2.306440686641698,979.668976785933,322.92626304335937,1140.7403912738248,80.76156375430398,45.53325907417148,49.14313586578989,2.55,3.54,3.43,44.07,0.64,79.64,13.75,17.74,4.56,18.880000000000003
pcff2,4.54250886,0.357622178,3.679453595,0.091791874,3.679453595,0.091791874,100.0,100.0,350.0,2.5049996629213482,2.4764853058676652,2.309100199750312,984.9385337864285,383.9931653139201,1126.911520804377,81.39562214497951,47.005868849942324,27.19664229978428,1.83,3.62,3.55,44.84,18.15,77.47,14.64,15.08,42.13,24.590000000000003
pcff2,4.566451867,0.268077514,3.677674262,0.092441877,3.677674262,0.092441877,100.0,100.0,350.0,2.5058981148564294,2.4762640699126095,2.2969970037453185,970.5829241137441,389.364262607759,1060.1397614144978,78.88381353416929,45.456095473368904,39.639656887523934,1.87,3.61,3.0,42.73,19.8,66.95,11.1,17.88,15.66,20.288888888888884
pcff2,4.477201,0.21748465,3.6206362,0.1255734,3.6206362,0.1255734,100.0,100.0,350.0,2.502593745318352,2.5415319101123597,2.3334744943820223,980.2648653975413,326.81813508197126,1030.0625100832326,78.2526007459013,52.148623390335366,46.13782272910677,1.73,6.34,4.64,44.16,0.56,62.21,10.21,5.78,1.83,15.273333333333333
