optimizer,sc_r,sc_eps,oc_r,oc_eps,ocx_r,ocx_eps,sos_ktheta,oso_ktheta,so_kr,D_11,D_11H,D_14,SE_T11,SE_T11H,SE_T14,BM_T11,BM_T11H,BM_T14,D_11_std,D_11H_std,D_14_std,SE_T11_std,SE_T11H_std,SE_T14_std,BM_T11_std,BM_T11H_std,BM_T14_std,error_D_11,error_D_11_std,error_D_11H,error_D_11H_std,error_D_14,error_D_14_std,error_SE_T11,error_SE_T11_std,error_SE_T11H,error_SE_T11H_std,error_SE_T14,error_SE_T14_std,error_BM_T11,error_BM_T11_std,error_BM_T11H,error_BM_T11H_std,error_BM_T14,error_BM_T14_std
pcff1,4.54246617,0.353988826,3.585991144,0.131453089,3.585991144,0.131453089,100.0,100.0,350.0,2.4814486516853935,2.4963487390761547,2.290059288389513,1040.282355504054,387.6576518611276,1117.1465294589448,77.04543791795267,53.64774259566319,40.774663524310505,0.0011697758032098626,0.017425163350255395,0.004938540180860902,15.433521386772021,15.732174623353782,21.414940746490412,,,,0.871896409975348,0.04755186191910011,4.4497380366591885,0.7290863326466692,2.6932416318167274,0.22145920093546645,52.98269933883148,2.269635498054709,19.279277495731566,4.840669114878087,75.92858731636926,3.3724316136205372,8.51470129289108,,3.0754424649264904,,13.24539675678616,
pcff1,4.575,0.265,3.65,0.11,3.7,0.12,100.0,100.0,350.0,2.4730661173533086,2.4423409987515603,2.3033725218476904,1022.6725964466921,312.524704931348,1113.0797013151812,78.05865530309332,44.803372024525565,49.528387297164095,0.0011304148712800084,0.0031844695400095177,0.002528712742154513,14.543415973141569,14.257232352835915,26.617462896916674,,,,0.531142981841815,0.0459518240357727,2.189999947764024,0.13324140334767853,3.290247616488358,0.11339519023114408,50.393028889219416,2.1387376431090543,3.838552328815992,4.386840723949512,75.28814193939861,4.191726440459319,9.941768032525799,,19.054431753341348,,5.37954744077467,
pcff1,4.695828644,0.350136893,3.488717377,0.13020344,3.488717377,0.13020344,100.0,100.0,350.0,2.502240599250936,2.4717161797752807,2.3345385393258424,1028.776878611013,360.7973337744541,1137.648472281019,78.30717993046164,47.5832062338994,53.23784640799779,0.0011223796774930618,0.0027802404819800113,0.0029793637305243663,15.285139007228988,19.621298722279818,24.06463293958864,,,,1.7170975305258553,0.045625190141994384,3.419087019886216,0.11632805363933102,4.687826875598316,0.13360375473203437,51.29071744279603,2.2478145598866157,11.01456423829357,6.037322683778405,79.15723972929432,3.789705974738369,10.291802718960062,,14.032147725565668,,13.272013634037856,
pcff1,4.54250886,0.357622178,3.679453595,0.091791874,3.679453595,0.091791874,100.0,100.0,350.0,2.486876791510612,2.460706092384519,2.2912178401997507,1012.9295369660814,354.5156705807458,1078.5423527683208,77.51631906877131,39.02107852494132,42.323156746964074,0.0011736651216287535,0.0036759944350412757,0.006160147011592499,15.460913371667404,17.641491187925798,22.83732834678748,,,,1.0925525004313756,0.04770996429385177,2.9584139073020537,0.15380729853729186,2.745194627791513,0.2762397763045964,48.96022602442374,2.2736637311275594,9.081744794075629,5.4281511347463995,69.849189412334,3.596429660911414,9.177914181368042,,29.50121314373745,,9.950730325608355,
pcff1,4.66272,0.19291879,3.537951,0.12879516,3.537951,0.12879516,100.0,100.0,350.0,2.500065093632959,2.4735288014981274,2.3056843945068666,1002.1110571267151,353.02155746512227,1072.5402842856288,78.43087795479039,50.64544940502094,38.74299732357885,0.0011331811516575388,0.0028784801652604326,0.005844473471936536,15.645513219079147,15.550640375305052,36.485833805142995,,,,1.6286623428032097,0.04606427445762353,3.4949289329760354,0.12043850063851182,3.3939190361823584,0.26208401219446353,47.36927310686987,2.300810767511639,8.622017681576082,4.784812423170785,68.90398177726438,5.7458005992351175,10.466025288437168,,8.499639737992883,,17.56809080089607,
pcff2,4.5145568,0.334787397,3.705772483,0.080167756,3.705772483,0.080167756,100.0,100.0,350.0,2.498245218476904,2.4728848189762798,2.301724606741573,993.495368847523,365.0771789228025,1063.5505737146866,78.74921447189078,50.11225455014739,41.37195622206821,0.0011205276584976317,0.003226096131307841,0.003929694310808984,14.594845105429549,16.70869049783229,21.131608464289112,,,,1.5546836779229263,0.0455499048169769,3.467984057584922,0.13498310172836153,3.2163500780974488,0.17621947582103067,46.102260124635734,2.146300750798463,12.33143966855461,5.1411355377945505,67.4882793251475,3.3278123565809623,10.91438658012786,,9.46295474228114,,11.974561229642099,
pcff2,4.617613454,0.340063814,3.661130467,0.110495681,3.661130467,0.110495681,100.0,100.0,350.0,2.4604936828963795,2.4791851435705365,2.2649117727840196,1036.812967770166,373.0406842198941,1126.7606374766456,78.78188303917022,50.18951035637674,39.26947500870967,0.0011406430398330596,0.005326583169407173,0.004560845409933152,14.956537792489575,14.456319161858435,46.22701958100819,,,,0.020068410421931766,0.046367603245246324,3.7315959652944106,0.22286958867812437,1.565550349059174,0.2045222156920696,52.47249526031854,2.1994908518367025,14.781748990736647,4.448098203648749,77.4426200750623,7.2798456033083765,10.960398646718627,,9.323377856591252,,16.447925513383684,
pcff2,4.477201,0.21748465,3.6206362,0.1255734,3.6206362,0.1255734,100.0,100.0,350.0,2.484010224719101,2.461469787765293,2.3060167665418225,1011.2587894546534,394.93303632224485,1058.167501733209,76.46381472175582,42.86807029664918,42.566227742848255,0.0012234362261426637,0.003840078557777195,0.005870545941961373,15.628267555476715,15.822357506691251,24.19439489274691,,,,0.9760253950854143,0.04973317992449853,2.990367688924393,0.16067274300322992,3.4088236117409214,0.2632531812538732,48.71452786097845,2.2982746405112815,21.51785732992149,4.8684176943665385,66.64055145404868,3.810140927991639,7.6955136926138366,,22.550911839838882,,9.433557993939882,
pcff2,4.457352185,0.3027663,3.607803609,0.121237182,3.607803609,0.121237182,100.0,100.0,350.0,2.4944719725343325,2.5333277278401996,2.3276691760299624,1017.4193269879989,376.348263424715,1079.9080593385138,76.53001561406184,49.21462863686796,48.142991940678286,0.0011619959570689903,0.0045923699307477885,0.007959688173554582,15.340984900344576,17.37782386707894,28.21946405819142,,,,1.401299696517583,0.047235608010934564,5.99697606025939,0.19214936948735514,4.3797836784736495,0.35693668939706646,49.62048926294102,2.2560271912271435,15.799465669143082,5.347022728331982,70.06426131315177,4.444010087904161,7.788754386002588,,11.084681776209655,,2.4318977461240125,
pcff2,4.5,0.22,3.65,0.11,3.65,0.11,100.0,100.0,350.0,2.4864604119850187,2.46261936329588,2.3106352184769037,1001.7870442857152,342.9743380014353,1049.5702877109634,77.27453280483923,47.50446967440628,44.51872228420555,0.001244829086684669,0.003722186181412901,0.0100140799369417,14.716376269336473,17.7849741406368,21.567484957199042,,,,1.0756265034560446,0.05060280840181581,3.038467083509625,0.15574000759049794,3.61592907968178,0.4490618805803453,47.321624159664,2.164172980784776,5.530565538903165,5.472299735580553,65.28665948204147,3.396454323968353,8.83737014766088,,14.174399865571312,,5.279314288924358,
