optimizers,sc_r,sc_eps,oc_r,oc_eps,ocx_r,ocx_eps,sos_ktheta,oso_ktheta,so_kr,D_11,D_11H,D_14,SE_T11,SE_T11H,SE_T14,BM_T11,BM_T11H,BM_T14,D_11_std,D_11H_std,D_14_std,SE_T11_std,SE_T11H_std,SE_T14_std,BM_T11_std,BM_T11H_std,BM_T14_std,error_D_11,error_D_11_std,error_D_11H,error_D_11H_std,error_D_14,error_D_14_std,error_SE_T11,error_SE_T11_std,error_SE_T11H,error_SE_T11H_std,error_SE_T14,error_SE_T14_std,error_BM_T11,error_BM_T11_std,error_BM_T11H,error_BM_T11H_std,error_BM_T14,error_BM_T14_std,manhattan_distance
NSGA2,4.516472561123612,0.3370220109473832,3.695909667136789,0.1284477308876773,3.695909667136789,0.1284477308876773,100.0,100.0,350.0,2.3054221598002496,2.3602745443196005,2.1897910237203497,716.3944265970171,324.691616161008,649.9730029705227,66.43472362626613,51.94502418538757,36.80762080791831,0.0012405449223756,0.0021921125252472,0.0053720556308257,16.73681686871875,25.96404682534912,22.09202273277865,,,,6.28365204064026,0.0504286553811233,1.2437429154978927,0.0917201893408884,1.8030931067107736,0.2408993556424103,5.352121558384861,2.4612965983409927,0.0948873350744704,7.988937484722808,2.3579532237043552,3.479058698075378,6.429966723568826,,6.151717822244675,,21.68591317464189,,51.403047900468
NSGA2,4.525100489155048,0.2807599880852757,3.503187486465454,0.1292819633938474,3.503187486465454,0.1292819633938474,100.0,100.0,350.0,2.387205792759051,2.4371336079900128,2.294505343320849,690.0398942262971,341.49649388839816,592.7690945145139,69.96379405162261,49.79679044476124,37.96192082209325,0.0012997736926086,0.0056232260394844,0.005953986430387,16.799731790633242,13.410568192201715,22.588221555844868,,,,2.9591141154857263,0.0528363289678308,1.972117489121868,0.2352814242462117,2.8926162924147585,0.2669949071922454,1.47645503327898,2.4705487927401824,5.075844273353281,4.126328674523605,6.650536296926948,3.55720024501494,1.4594449977146284,,10.032898925453946,,19.22995569767394,,51.748983121424075
,4.7427735,0.29065716,3.3944278,0.13475668,3.3944278,0.13475668,100.0,100.0,350.0,2.3937626716604243,2.437733383270912,2.304594981273408,688.2171490838599,335.4351725058121,576.7119176739815,67.61477947262416,46.36028723837144,42.614893754113695,0.0013721692145316,0.0035233907907255,0.0054999347296944,16.886354476676576,13.976888111855148,20.95738397543185,,,,2.6925743227469767,0.0557792363630746,1.997212689159476,0.1474222088169693,3.3450664248165083,0.2466338443809158,1.2084042770382215,2.483287423040673,3.210822309480643,4.300580957493892,9.179225563152524,3.300375429201866,4.767916235740614,,16.241576805110327,,9.3300132891198,,51.97281191636509
BO,4.2928834,0.16839465,3.4937534,0.14631718,3.4937534,0.14631718,100.0,100.0,350.0,2.39836240948814,2.477317990012484,2.309409263420724,662.044428013868,334.60281411993526,528.1084639535305,67.67970801990994,54.32750989837068,40.60742800912905,0.0013737712917767,0.0039668867301575,0.0060563553257526,17.32348947242743,14.138190657403536,22.961687168791865,,,,2.505593110238212,0.0558443614543382,3.653472385459585,0.1659785242743747,3.560953516624393,0.2715854406167121,2.6405252920782334,2.547571981239328,2.954712036903157,4.350212509970318,16.83331276322354,3.616013727368797,4.6764675775916364,,1.8473172567828784,,13.60121700185308,,52.273570940754716
BO,4.3724613,0.34694937,3.7996035,0.09953286,3.7996035,0.09953286,100.0,100.0,350.0,2.306007265917603,2.363963995006242,2.1821326841448188,695.960920854786,336.5750654110998,645.9923987698882,64.1572241251718,52.65462171777625,37.00742323325102,0.0012186511561761,0.0022983666526416,0.0061645381750266,16.934531280637763,14.65098144949582,26.186993010924883,,,,6.25986723912182,0.0495386648852086,1.089372593881098,0.0961659687297749,2.1465164060619384,0.2764366894630779,2.3471942433508777,2.4903722471526124,3.5615585880307035,4.50799429215256,1.7310864204548275,4.123935907232266,9.637712499758036,,4.869698793538843,,21.26080163138081,,52.90380841557895
ocxktheta,4.575,0.265,3.65,0.11,3.35,0.05,170.0,170.0,350.0,2.3322873782771536,2.3897180649188514,2.2040335580524344,662.7666661446303,332.5265423685243,625.9676639005932,71.25775373163397,45.59437823211064,36.49728374575093,0.0013029670440872,0.003560207420331,0.00630564645373,17.679890514547107,19.746295674455364,28.66817233578547,,,,5.191569988733592,0.0529661400035477,0.0117964469099878,0.1489626535703367,1.1644144371105645,0.2827644149654729,2.534313802260245,2.599983899198104,2.3158591903151704,6.075783284447804,1.422415133764858,4.514672808785114,0.3630334248365755,,17.625332913982582,,22.34620479627461,,52.97494013418819
,4.5,0.22,3.65,0.11,3.65,0.11,100.0,100.0,350.0,2.349953245942572,2.410498164794008,2.230710299625468,680.0414307194504,309.42003019708494,626.5823461110817,65.76740819039921,51.10372301286584,34.50643078443201,0.0013249210167729,0.0025009496701871,0.0064301074376803,16.597571173506623,18.391549984435184,20.707103222571355,,,,4.473445286887323,0.0538585779175991,0.8576637989124365,0.1046422456145234,0.0318520011420718,0.2883456250080884,0.0060927528603576,2.440819290221562,4.793836862435403,5.658938456749287,1.32561478565642,3.260961137412812,7.369847619156044,,7.671683806927129,,26.58206216078295,,53.11209907476014
ocxktheta,4.575,0.265,3.65,0.11,3.45,0.098264456,160.0,160.0,350.0,2.3381815605493133,2.4092239575530585,2.2087825468164795,652.8644652475854,353.32792225347754,627.0836325108589,67.15394163692638,46.608258043906126,41.66606731804378,0.001350542182474,0.0029777701713188,0.004561092304001,18.244386288019665,23.60912091989115,22.3990988489053,,,,4.951969083361249,0.0549000887184562,0.8043496884124849,0.1245928941974396,0.9514552997094408,0.2045332871749372,3.990519816531563,2.682997983532303,8.71628377030078,7.264344898428047,1.246672045534026,3.52741714155989,5.41698360996285,,15.793571736393632,,11.348792940332382,,53.2205979905384
,4.65,0.31,3.5500000000000003,0.0849999999999999,3.5500000000000003,0.0849999999999999,100.0,100.0,350.0,2.40175177278402,2.4157737453183525,2.306991061173533,662.278350833943,312.2886000448244,548.7866431241891,69.10672220377506,50.18896229747492,39.96194004810904,0.0012975292302327,0.0279234975908294,0.0061099408955818,17.035287294643297,21.721391785557334,28.33296134200016,,,,2.367814114470736,0.0527450906598674,1.078399385705122,1.168347179532612,3.452513953970087,0.2739883809677944,2.6061248773613204,2.5051893080357788,3.911199986207888,6.683505164786872,13.576906594615885,4.461883675905536,2.6665884453872337,,9.324368026242247,,14.9745956423212,,53.95851102628172
,4.563692030065045,0.2509896359222457,3.211772653608852,0.1275500197389502,3.211772653608852,0.1275500197389502,100.0,100.0,350.0,2.501123383270911,2.5766785518102377,2.4310502996254684,610.7261618214022,321.1992156072433,543.2015882142266,68.11759001271258,52.40321287785899,46.80410548560373,0.0014970262737072,0.0023114590954903,0.0039769224483402,16.78739101292956,22.675188090331,30.38209908924524,,,,1.6716822467850103,0.060854726573465,7.810818067373958,0.0967137696857866,9.015708503384232,0.1783373295219833,10.187329143911438,2.468733972489641,1.169472120848223,6.976980950871076,14.456442800909194,4.784582533739408,4.059732376461151,,5.323915306487825,,0.4167968391410048,,54.11189740530204
NSGA2,4.539970468886857,0.3501367784929931,3.677671544888577,0.1302080532432991,3.677671544888577,0.1302080532432991,100.0,100.0,350.0,2.308668352059925,2.362817215980025,2.1974596629213483,721.7781255596414,326.2249079244598,663.8567422744327,67.07285452962697,57.15035106703375,34.91243197549406,0.0012090414719516,0.0022012993582301,0.0057134330538858,16.609838988886096,15.194892436418318,24.736042894828195,,,,6.151693005694098,0.0491480273151057,1.1373549799152711,0.0921045756581643,1.4592079407467118,0.2562077602639415,6.143841994064905,2.442623380718544,0.3768947459876262,4.675351518897944,4.544368862115384,3.895439825957197,5.531190803342302,,3.252666787775522,,25.71822983937434,,54.31544895901616
NSGA2,4.69065883083244,0.3451625400948365,3.488648148503131,0.0869375755776598,3.488648148503131,0.0869375755776598,100.0,100.0,350.0,2.413556079900125,2.459666604244694,2.3223311360799,662.8643159178483,322.4293536849015,599.315898413927,67.13917297736432,51.81220569345744,35.319746732946115,0.0013104259283179,0.006741066807593,0.0050254522764333,17.050264531376957,21.14210313453176,37.14761324246173,,,,1.8879642317022527,0.0532693466795919,2.9149206796943123,0.2820530045017991,4.140409689681612,0.2253566043243652,2.5199535414928924,2.5073918428495525,0.7909680969533803,6.50526250293285,5.619543556861888,5.85001783345854,5.437784538923486,,6.391678963943195,,24.85160269585933,,54.55482599511235
NSGA2,4.542466216564962,0.3539874802888635,3.645992250356796,0.1314304544639831,3.645992250356796,0.1314304544639831,100.0,100.0,350.0,2.320638352059925,2.37578481897628,2.191005218476904,724.0594520720791,319.1910414804911,642.8526050630237,66.98040235266548,54.72522030126213,32.76426018175265,0.0012086446048772,0.002267824783452,0.0060167255823627,17.594582754089778,15.19039799464509,25.048093016366085,,,,5.665107639840447,0.0491318945072052,0.5947774486912363,0.0948880662532249,1.748644911349606,0.2698083220790461,6.479331187070461,2.5874386403073206,1.7873718521565864,4.673968613736951,1.2366307185864098,3.9445815773804855,5.661405137090875,,1.128779943519196,,30.288808123930536,,54.59085696223535
