force_field,run,ca_si_ratio,temperature,pressure,density_mean,density_std,density_unit
CVFF,run1,1.2,298.15,1.01325,2.2766739950062425,0.0070249907665401925,g/cm^3
CVFF,run1,1.3,298.15,1.01325,2.315537116104869,0.0033102368189833185,g/cm^3
CVFF,run1,1.4,298.15,1.01325,2.29929684144819,0.006371159343956161,g/cm^3
CVFF,run1,1.5,298.15,1.01325,2.3342919475655433,0.004362586841800079,g/cm^3
CVFF,run1,1.6,298.15,1.01325,2.359010124843945,0.002678046953358829,g/cm^3
CVFF,run1,1.7,298.15,1.01325,2.352357623888183,0.002699489645638513,g/cm^3
CVFF,run1,1.8,298.15,1.01325,2.3597305368289634,0.00336758386479898,g/cm^3
CVFF,run1,1.9,298.15,1.01325,2.3596093591455274,0.0028755288498459887,g/cm^3
CVFF,run1,2.0,298.15,1.01325,2.3851246134347273,0.0033087862971603564,g/cm^3
