force_field,run,ca_si_ratio,direction,strain,density_mean,pxx_mean
PCFF,run7,2.0,yz,-0.02,,
PCFF,run7,2.0,yz,0.01,,
PCFF,run7,2.0,yz,0.02,,
PCFF,run7,2.0,undeformed,0.0,,
PCFF,run7,2.1,xx,-0.01,,
PCFF,run7,2.1,xx,-0.02,,
PCFF,run7,2.1,xx,0.01,,
PCFF,run7,2.1,xx,0.02,,
PCFF,run7,2.1,yy,-0.01,,
PCFF,run7,2.1,yy,-0.02,,
PCFF,run7,2.1,yy,0.01,,
PCFF,run7,2.1,yy,0.02,,
PCFF,run7,2.1,zz,-0.01,,
PCFF,run7,2.1,zz,-0.02,,
PCFF,run7,2.1,zz,0.01,,
PCFF,run7,2.1,zz,0.02,,
PCFF,run7,2.1,xy,-0.01,,
PCFF,run7,2.1,xy,-0.02,,
PCFF,run7,2.1,xy,0.01,,
PCFF,run7,2.1,xy,0.02,,
PCFF,run7,2.1,xz,-0.01,,
PCFF,run7,2.1,xz,-0.02,,
PCFF,run7,2.1,xz,0.01,,
PCFF,run7,2.1,xz,0.02,,
PCFF,run7,2.1,yz,-0.01,,
PCFF,run7,2.1,yz,-0.02,,
PCFF,run7,2.1,yz,0.01,,
PCFF,run7,2.1,yz,0.02,,
PCFF,run7,2.1,undeformed,0.0,,
